Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
70351,6/1/2015,1.4,10.8,1.2,,,NW,44,0:08,4.9,66,,SSE,15,1018.5,9.6,30,8,SW,24,1019.3
70351,6/2/2015,-7,11.7,0,,,SSE,35,11:32,0.7,82,,NE,4,1026.2,11.1,44,,W,13,1023.8
70351,6/3/2015,-5.1,12.7,0,,,NNW,19,14:54,2.5,81,,WNW,7,1025.1,11.8,42,,NNW,13,1021.9
70351,6/4/2015,-6.9,11.4,0,,,N,37,15:21,-0.6,93,, ,Calm,1022.8,10.2,46,,NNW,26,1018.3
70351,6/5/2015,-0.8,14,1,,,NW,19,1:05,4.8,91,7, ,Calm,1020.9,13.8,47,,WNW,9,1021
70351,6/6/2015,-3.9,13.9,0,,,NW,19,13:23,-0.3,99,8, ,Calm,1030.7,13.3,56,,NNW,9,1028.6
70351,6/7/2015,-5.5,16.5,0.2,,,NW,41,13:07,0.6,95,, ,Calm,1030.1,15.4,49,,NNW,24,1025.8
70351,6/8/2015,0.1,15.4,0,,,NW,54,12:12,10.4,74,,NW,26,1024.7,14.2,53,,NW,31,1020.9
70351,6/9/2015,7.8,15.1,0,,,NW,46,3:23,11.2,67,1,NW,31,1021.2,12.2,71,8,NW,33,1022.1
70351,6/10/2015,-3.3,14.4,0,,,S,30,14:00,6,72,,SE,9,1032.8,12.2,52,7,ENE,7,1032.4
70351,6/11/2015,-3.1,14.9,0,,,SE,17,0:21,3.2,79,,SE,7,1039,14.3,48,,NW,4,1035.1
70351,6/12/2015,-4.5,17.5,0,,,ENE,17,15:05,2.4,90,,NW,6,1036.2,16.6,42,,SSW,4,1032.2
70351,6/13/2015,-2.1,16.3,0,,,NNW,24,13:05,3.5,99,1,NNW,7,1032.5,14.9,57,,NNW,13,1028
70351,6/14/2015,-1.8,16.3,0.2,,,WNW,15,13:01,4.2,99,5, ,Calm,1030.4,15.7,50,,NW,7,1026.7
70351,6/15/2015,-0.2,15.9,0,,,ENE,35,14:43,8.2,93,4,SW,6,1029.8,13.6,70,8,ENE,15,1026.6
70351,6/16/2015,8.2,12.8,6.4,,,SW,17,9:00,10.9,99,8,WSW,13,1022.4,12.7,99,8,NNW,6,1018.6
70351,6/17/2015,10.3,12.8,23,,,,,,11.2,99,,SW,7,1012.8,12.8,87,8,NW,13,1010.2
70351,6/18/2015,4.2,10.7,17,,,S,31,23:13,8.6,99,7,NW,2,1016.5,9.5,90,8,E,13,1015.7
70351,6/19/2015,2.2,11.2,5.6,,,S,37,9:48,7.4,70,,SSE,17,1020.6,10.2,57,8,SSE,15,1019.7
70351,6/20/2015,-2.6,11.6,0.2,,,S,28,11:09,3.7,77,,NNE,2,1026.3,10.7,52,1,SSW,7,1024.4
70351,6/21/2015,-3.5,12.6,0,,,NNW,26,14:33,1.2,94,,N,7,1029.9,11.9,48,,NNW,19,1027.8
70351,6/22/2015,-4.6,13.1,0,,,NNW,33,13:22,0.1,95,,SW,2,1030.1,10.6,61,,NNW,17,1026.6
70351,6/23/2015,-2.4,13.8,0,,,NNW,35,12:53,4.5,89,, ,Calm,1026.8,11.3,64,,NW,24,1024.2
70351,6/24/2015,3.5,15.7,0,,,NW,31,12:25,10.6,86,3,N,6,1024,13.4,71,7,WSW,7,1021.5
70351,6/25/2015,1.1,16,0.2,,,SSE,19,21:35,5,99,7,N,4,1025.7,15.5,56,,NW,7,1024.9
70351,6/26/2015,-0.9,14.3,0,,,SE,26,9:32,5.3,78,,SE,11,1034.9,13.3,49,,NNW,4,1032
70351,6/27/2015,-3.1,12.4,0,,,NNW,19,16:05,2.2,99,8,SE,6,1034.4,11.1,69,,SSW,7,1031
70351,6/28/2015,0.2,13.2,0,,,SSE,19,6:51,2.8,98,8,SSE,9,1035.3,12.7,55,,NW,7,1032.4
70351,6/29/2015,-0.9,14.4,0.2,,,NNW,19,13:59,4.8,90,,NNW,6,1034.8,13.7,52,,NNW,7,1030.7
70351,6/30/2015,-2,11.6,0,,,NNW,35,13:50,4.8,99,8,WSW,7,1029.9,8.1,72,7,NNW,26,1026.6
