Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
8/1/2015,2.3,15.1,0,,,WNW,59,14:27,8.7,72,8,NNW,31,1016.4,13.9,60,1,WNW,24,1014.2
8/2/2015,7.4,14.6,31.4,,,NNE,48,7:38,9.6,88,8,NW,15,1014.5,10.5,86,8,NW,28,1012.5
8/3/2015,3.8,11.1,1.2,,,NW,65,7:24,9.2,62,3,NW,33,1014.7,10,57,1,WNW,30,1015.3
8/4/2015,-5.3,8.9,0,,,NW,48,15:50,0.1,86,, ,Calm,1023.1,7.4,50,,N,31,1018.7
8/5/2015,0,10.1,0,,,WNW,63,13:55,3.4,88,6,NNW,28,1013.8,6.9,80,8,NW,30,1010.7
8/6/2015,-0.1,12.2,0,,,WNW,35,12:03,4.8,74,,NW,19,1017.4,11.7,43,2,WNW,20,1017.3
8/7/2015,-3.5,13,0,,,N,28,15:39,1.3,99,8,WNW,2,1025.2,12.2,54,2,NNW,15,1022
8/8/2015,-3,13.4,0.2,,,WNW,20,12:18,-0.4,99,8, ,Calm,1026.4,12.6,41,,NNW,9,1022.9
8/9/2015,-4.7,13.3,0,,,WNW,30,14:48,2.8,90,,N,6,1025.1,11.4,50,1,NNW,19,1019.8
8/10/2015,2.7,14.4,0,,,NW,44,13:13,9.2,59,1,NW,19,1017.1,13.4,51,8,NW,28,1013.2
8/11/2015,3.1,13.6,0,,,NW,44,14:04,8.8,74,,NNW,20,1014.7,12.4,42,,NW,24,1012
8/12/2015,-3.5,7.5,,,,,,,2.2,95,, ,Calm,1006,4.9,85,8,NW,30,1004.1
8/13/2015,0.5,12.2,4,,,W,52,16:07,7.5,74,,NW,22,1016.3,10.6,56,,WNW,33,1017.3
8/14/2015,-2.8,15.4,0,,,N,31,14:38,4.3,84,,SW,6,1026.2,14.2,56,,NNW,24,1024.2
8/15/2015,-1.6,15.1,0,,,N,19,14:34,5.4,91,8,NNE,6,1032.1,14.7,49,5,N,11,1029.4
8/16/2015,0.5,15.3,0,,,WNW,41,13:17,7.3,86,,WNW,4,1028,14.9,46,,NW,24,1021.9
8/17/2015,3.3,12.5,0,,,W,52,13:52,8.6,76,8,NW,22,1017.5,10.4,66,8,WNW,30,1014.9
8/18/2015,-4.1,12.3,0,,,W,31,0:03,4,75,, ,Calm,1021.6,11.2,44,,N,11,1020.8
8/19/2015,-3.8,13,0,,,NNW,26,12:36,4.5,84,1,NW,7,1027.7,11.4,50,,N,11,1025.1
8/20/2015,-1.8,15.6,0.2,,,NW,30,13:27,4.1,99,8, ,Calm,1029.2,14.9,46,,NNW,20,1025.5
8/21/2015,-2.5,17.7,0,,,NW,41,14:01,5.4,83,,W,2,1026.5,15.3,53,,NW,28,1022.2
8/22/2015,2.7,21,1.4,,,NW,67,14:24,11.8,93,6,SSW,7,1021.4,19.9,48,1,NW,43,1017.1
8/23/2015,10.7,16.5,0.2,,,NNW,37,2:06,12.7,82,6,NNW,20,1021.1,13.8,73,7,NNW,20,1019.4
8/24/2015,7.4,11.6,0,,,SE,39,11:08,11.4,76,8,SE,15,1020.6,10.3,78,8,SSE,20,1017.7
8/25/2015,6.5,10.5,22.6,,,S,54,11:27,9.9,75,8,S,28,1019.4,7.7,89,8,S,22,1020.1
8/26/2015,7.2,14.9,2.6,,,SSW,39,11:15,9.8,74,7,S,26,1024.6,13.5,69,5,S,24,1021.8
8/27/2015,6.6,15.8,1.2,,,NNW,39,13:15,9.6,99,7, ,Calm,1020.4,14.7,59,8,NW,26,1016.7
8/28/2015,5.6,15.2,0,,,NW,37,14:57,8.5,76,7,NNW,9,1021.6,11.8,70,8,NW,30,1020.7
8/29/2015,4,14,1.8,,,NW,41,11:28,8.7,74,,NW,20,1023,13.5,40,,WNW,24,1019.3
8/30/2015,-2.9,14.5,0,,,SSE,33,20:52,3.9,89,7,NNW,2,1022.3,13.5,49,3,W,9,1018.8
8/31/2015,-3,15,0,,,N,31,15:36,6.2,65,,W,7,1019.2,12.9,52,4,N,13,1015.1
