"Daily Weather Observations for Canberra, Australian Capital Territory for December 2015",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:03 GMT on Monday 20 June 2016   IDCJDW2801.201512,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
70351,12/1/2015,10.4,35,0,,,NW,78,12:05,23.8,34,,E,4,1010.1,30.6,16,8,WNW,41,1007
70351,12/2/2015,12,23.2,1.4,,,E,41,18:53,16.8,46,,WNW,15,1013.5,21.5,24,,WSW,9,1014.9
70351,12/3/2015,6.6,26.8,0,,,ENE,43,18:01,14,63,2,ENE,9,1026,25.7,23,,SW,9,1021.9
70351,12/4/2015,7.8,29.8,0,,,E,39,16:59,17.1,52,,E,6,1025.1,28.4,21,,NNW,13,1020
70351,12/5/2015,8.1,32,0,,,E,37,17:07,19.4,42,,WSW,6,1021.5,29.7,22,2,W,11,1016.5
70351,12/6/2015,11.2,32.7,0,,,ESE,41,16:13,22.6,33,,SSW,7,1019.6,32.4,20,1,WNW,17,1015.3
70351,12/7/2015,15.7,28.8,0,,,ESE,33,15:52,19.2,67,7,ESE,9,1020.4,27.2,37,5,ENE,17,1017
70351,12/8/2015,16.8,28.2,0,,,NNW,70,11:58,20.7,62,8,NE,4,1016.2,22.9,56,8,WNW,15,1015
70351,12/9/2015,17.2,30.6,0.4,,,NW,46,9:20,21.4,72,8,NNW,19,1015.2,29.4,34,,W,30,1012.6
70351,12/10/2015,12.2,31.6,0,,,WNW,48,12:50,19.6,63,,WSW,6,1014.6,30.7,19,,W,30,1010.2
70351,12/11/2015,10.8,27.4,0,,,WNW,70,18:34,23,40,,WNW,15,1005.8,26.3,19,1,WNW,37,1003.7
70351,12/12/2015,3.8,26.1,0,,,ENE,50,17:00,15.7,39,,WSW,7,1013.2,23.7,15,,N,20,1010.9
70351,12/13/2015,7.3,27.7,0,,,NW,37,12:12,16,62,,NW,6,1017.4,24.3,23,7,N,22,1013.5
70351,12/14/2015,6.5,32.2,0,,,W,37,17:06,19.5,39,,SSW,6,1015.6,29.8,12,,NNE,11,1012.4
70351,12/15/2015,12.4,30.3,0,,,ENE,37,19:08,19.8,34,1,ESE,2,1014.9,28.3,19,8,SE,17,1012.9
70351,12/16/2015,13.1,27,0,,,ESE,48,10:44,21,62,,SE,11,1015.5,23.7,34,8,WSW,13,1014.1
70351,12/17/2015,10.4,30.2,16,,,WNW,30,11:10,17.6,73,4,S,7,1017.9,27.3,31,1,WNW,13,1014.5
70351,12/18/2015,13.6,33.6,0,,,WNW,35,12:02,22.6,60,,N,4,1016.8,31.2,24,,N,11,1012.9
70351,12/19/2015,15.4,36.3,0,,,NW,37,15:34,25.6,47,,NNW,6,1015.3,33.3,21,,WNW,17,1011.9
70351,12/20/2015,16.2,37,0,,,W,70,20:04,26,29,,NW,4,1012.9,36.7,15,1,WNW,39,1007.6
70351,12/21/2015,19.3,27.9,0,,,ENE,43,16:21,20.6,83,8,NNW,22,1015.1,27.7,21,1,W,19,1015.4
70351,12/22/2015,14,24.9,0.2,,,E,46,17:44,15.5,58,7,E,9,1023,24,40,6,ENE,24,1019.5
70351,12/23/2015,13.6,25.4,0,,,E,35,14:33,16.1,63,8,E,13,1019.8,24.7,41,7,E,13,1015.3
70351,12/24/2015,10.9,26.2,0.8,,,E,43,15:27,17.9,55,,ESE,13,1019.9,25.9,32,2,ENE,28,1016.1
70351,12/25/2015,9.2,28.7,0,,,NE,44,17:54,18.4,56,,NE,17,1017.3,26.6,27,1,N,11,1011.1
70351,12/26/2015,11.4,22.4,0,,,,,,20.6,58,,SSW,4,1006.2,19.2,88,8,NNW,28,1004.5
70351,12/27/2015,11,24,16.2,,,S,41,8:22,15,47,,S,24,1016.1,22.1,24,,S,11,1016.6
70351,12/28/2015,6.4,24.7,0,,,ENE,37,17:10,14.1,46,,SSE,15,1023.6,22.9,23,2,SSW,13,1020.5
70351,12/29/2015,9.2,30.2,0,,,ENE,37,17:16,16.2,57,,ESE,11,1022,27,16,,W,15,1017.7
70351,12/30/2015,9.4,32.4,0,,,ENE,41,17:59,19.1,61,,SW,7,1018.8,30.6,19,,WNW,9,1015.3
70351,12/31/2015,11.4,34,0,,,ENE,37,18:27,21,45,,W,7,1018.1,31.6,13,,NNE,13,1013.8
