"Daily Weather Observations for Canberra, Australian Capital Territory for January 2016"
"Prepared at 13:02 GMT on Sunday 19 June 2016   IDCJDW2801.201601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,15.0,34.9,0,,,SE,52,11:46,23.2,46,,SW,9,1015.2,34.0,11,,E,17,1009.8
,2016-01-2,16.2,28.3,0,,,ESE,41,11:55,21.2,52,7,SE,2,1012.1,25.2,39,8,S,28,1009.8
,2016-01-3,15.1,24.8,0,,,ESE,46,09:25,19.3,63,6,ESE,22,1014.8,23.6,42,4,SE,22,1013.2
,2016-01-4,14.2,20.1,1.6,,,E,33,13:07,15.8,85,8,SSE,11,1017.4,17.9,75,8,ESE,13,1016.1
,2016-01-5,14.0,17.1,13.4,,,ESE,37,13:43,15.1,94,8,SSE,9,1016.9,16.0,83,8,ESE,19,1014.9
,2016-01-6,13.7,20.7,7.2,,,SE,44,17:34,15.9,80,8,SSE,15,1014.1,18.4,66,8,ESE,24,1013.5
,2016-01-7,10.6,25.5,0,,,S,48,08:52,16.1,62,1,S,31,1015.4,24.4,33,2,S,24,1014.5
,2016-01-8,8.0,29.5,0,,,ENE,41,19:01,16.4,71,,WSW,4,1019.3,26.5,30,,SE,9,1016.7
,2016-01-9,13.1,31.7,0,,,ENE,35,21:03,19.2,64,,W,6,1020.1,30.0,28,3,WNW,15,1016.0
,2016-01-10,15.0,34.5,0,,,ENE,35,19:41,23.7,54,,ESE,11,1018.8,33.2,20,,NNW,13,1014.5
,2016-01-11,15.6,35.7,0,,,W,39,12:40,23.8,61,,ESE,2,1013.4,34.8,18,2,NNW,13,1009.7
,2016-01-12,18.7,37.9,0,,,E,48,16:46,27.1,37,,N,7,1011.2,36.1,17,4,WNW,26,1010.5
,2016-01-13,13.2,39.3,0,,,WSW,39,19:05,22.7,58,,SSW,6,1017.9,37.5,14,,NNW,24,1013.0
,2016-01-14,21.8,34.0,0,,,NW,54,11:29,30.6,34,,NNW,26,1012.3,28.5,45,8,W,26,1011.2
,2016-01-15,9.6,21.0,2.0,,,SSE,52,05:26,13.6,49,,S,26,1023.5,18.8,40,8,ESE,17,1023.2
,2016-01-16,5.5,23.1,0,,,E,44,17:54,15.1,59,8,SSE,15,1026.7,21.3,38,5,E,22,1024.5
,2016-01-17,7.4,25.7,0,,,ESE,35,12:17,16.5,61,5,ESE,9,1024.7,25.0,30,,NNE,11,1020.2
,2016-01-18,11.9,31.3,0,,,ENE,35,18:58,16.0,71,1,ESE,7,1019.8,29.2,20,,W,11,1015.0
,2016-01-19,11.3,35.0,0,,,NW,39,10:56,21.2,55,,NNW,6,1017.2,33.1,16,,WNW,22,1012.4
,2016-01-20,14.1,36.9,0,,,WNW,54,13:02,23.0,43,7,SSW,7,1013.3,33.2,17,8,NW,28,1009.4
,2016-01-21,14.9,35.2,0,,,WNW,104,14:40,24.2,50,,NNE,4,1011.1,32.5,35,6,W,19,1007.3
,2016-01-22,18.7,27.7,26.2,,,W,28,12:40,22.4,84,8,NE,4,1010.1,21.5,88,6,WNW,9,1007.9
,2016-01-23,17.2,28.6,11.4,,,ENE,35,19:45,19.6,76,8,SSE,15,1008.0,26.2,44,8,SW,9,1007.1
,2016-01-24,16.5,29.0,1.8,,,ESE,43,17:55,18.1,85,8,E,7,1012.1,27.1,51,1,N,9,1009.0
,2016-01-25,17.1,27.3,0,,,E,48,18:22,18.7,79,8,E,13,1013.7,25.3,56,5,E,15,1011.1
,2016-01-26,15.1,26.4,6.4,,,E,39,15:12,19.3,78,8,ESE,9,1017.0,25.6,50,3,ENE,20,1014.9
,2016-01-27,17.3,22.4,0,,,NNE,26,14:04,18.5,77,8,SE,13,1014.6,20.0,68,8,N,17,1012.1
,2016-01-28,15.4,29.0,2.6,,,NW,33,15:15,20.0,77,1,NNW,9,1007.7,27.6,44,1,N,13,1003.5
,2016-01-29,15.5,23.4,0,,,NNE,48,13:53,22.9,67,,SW,7,1001.4,17.2,89,8,N,30,1002.4
,2016-01-30,12.0,27.0,5.6,,,ENE,70,12:53,18.2,84,7,SSE,7,1004.4,24.2,79,7,ESE,15,1001.6
,2016-01-31,10.3,21.8,28.2,,,WSW,46,15:10,14.9,85,,NE,7,1004.1,19.4,49,8,NW,28,1003.2
