"Daily Weather Observations for Canberra, Australian Capital Territory for February 2016"
"Prepared at 13:02 GMT on Saturday 18 June 2016   IDCJDW2801.201602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-02-1,12.0,22.1,11.0,,,SSW,39,15:01,14.0,96,8,SSE,7,1002.9,20.1,58,2,WNW,20,1001.2
,2016-02-2,9.1,26.7,3.0,,,NNW,33,15:06,16.2,74,,SE,9,1006.2,24.9,35,,NW,9,1003.1
,2016-02-3,14.2,27.2,0,,,SW,37,13:48,19.0,74,5,ESE,4,1003.5,25.9,52,8,SSW,26,1002.6
,2016-02-4,14.0,24.5,7.0,,,ESE,48,17:24,16.6,72,8,S,24,1013.6,23.5,44,,ESE,30,1012.7
,2016-02-5,10.7,23.7,0,,,ESE,52,11:01,18.0,63,,SE,26,1018.4,23.0,46,4,ESE,31,1017.4
,2016-02-6,12.2,25.2,0,,,E,33,11:18,17.8,63,8,E,13,1019.0,24.2,45,1,ENE,22,1016.0
,2016-02-7,9.6,29.3,0,,,NE,31,18:06,16.1,76,,SSW,6,1018.3,27.1,36,,NW,7,1014.8
,2016-02-8,11.6,31.4,0,,,NNE,39,16:38,19.3,67,,ESE,7,1019.1,30.6,26,,SE,11,1016.3
,2016-02-9,13.9,29.4,0,,,ENE,35,18:42,19.6,71,1,ESE,7,1020.8,27.6,41,,NNW,11,1017.2
,2016-02-10,11.7,31.4,0,,,NW,35,13:02,18.2,78,,NNE,2,1015.8,29.4,39,,N,22,1011.0
,2016-02-11,14.9,29.6,0,,,SSE,48,15:58,21.0,69,1,ESE,9,1014.7,28.1,44,,E,24,1011.9
,2016-02-12,14.3,28.8,2.4,,,ENE,30,18:23,20.7,73,8,ESE,11,1016.6,27.5,45,,NW,9,1013.0
,2016-02-13,14.4,32.3,0,,,NW,41,12:52,20.4,79,,E,2,1013.7,31.1,31,1,NW,20,1009.5
,2016-02-14,15.6,32.6,0,,,W,59,12:57,25.6,41,,N,24,1008.2,32.1,26,,W,30,1006.7
,2016-02-15,14.9,28.9,0,,,NW,46,15:25,18.7,75,8,E,6,1011.7,27.5,37,,WNW,19,1007.4
,2016-02-16,9.1,27.0,0,,,W,41,14:21,17.6,52,,SSW,2,1009.2,25.7,31,,W,26,1006.9
,2016-02-17,10.3,24.6,0,,,NW,33,13:59,14.1,48,,SSE,20,1011.2,23.3,37,,NNW,20,1007.2
,2016-02-18,8.4,28.8,0,,,ENE,35,19:24,16.9,63,,SSE,11,1009.3,26.9,29,,NNW,6,1006.5
,2016-02-19,15.4,30.1,0,,,NW,44,14:55,19.1,75,,NNE,6,1011.4,29.3,25,,W,22,1009.7
,2016-02-20,14.0,31.0,0,,,E,52,18:12,19.4,75,5,E,9,1018.3,28.3,35,8,WNW,15,1016.7
,2016-02-21,15.9,29.6,0,,,NE,37,18:33,19.0,73,8,SE,9,1025.3,28.5,41,,N,15,1022.9
,2016-02-22,13.0,33.1,0,,,E,37,19:31,20.2,72,,ENE,6,1025.0,31.7,32,1,W,13,1020.4
,2016-02-23,15.3,34.4,0,,,NNW,33,12:28,21.9,52,,SSE,9,1020.7,31.9,30,,NNW,13,1016.2
,2016-02-24,14.2,36.4,0,,,NNW,43,14:26,22.7,57,,N,9,1015.5,35.3,20,,NNW,28,1011.5
,2016-02-25,15.0,38.0,0,,,WNW,57,15:15,26.3,38,,SW,7,1012.6,37.5,15,,WNW,28,1009.2
,2016-02-26,16.0,32.0,0,,,ENE,44,16:35,22.4,65,,NNE,13,1015.3,31.1,19,,WSW,15,1013.1
,2016-02-27,14.6,25.4,0,,,ENE,39,17:10,19.0,74,8,ESE,13,1019.4,23.8,55,6,ENE,20,1018.1
,2016-02-28,12.8,30.9,0,,,E,43,16:26,19.1,69,,NNE,4,1018.6,28.7,33,4,W,13,1015.1
,2016-02-29,17.8,25.5,0,,,NNE,35,11:18,18.9,72,7,ESE,13,1021.2,23.8,54,1,NE,22,1019.2
