"Daily Weather Observations for Canberra, Australian Capital Territory for March 2016"
"Prepared at 13:02 GMT on Friday 17 June 2016   IDCJDW2801.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-03-1,14.3,31.3,0,,,NW,31,12:52,18.9,76,5,ESE,6,1021.7,28.9,34,2,W,13,1018.0
,2016-03-2,14.0,33.9,0,,,W,57,13:22,19.8,68,,ESE,9,1020.9,32.2,22,,W,20,1017.8
,2016-03-3,12.6,35.2,0,,,SE,41,16:27,21.6,46,,ESE,4,1021.5,33.5,20,8,W,11,1017.8
,2016-03-4,14.2,32.6,6.8,,,N,37,14:43,19.5,77,,SSE,7,1021.8,31.6,28,,N,11,1018.2
,2016-03-5,14.3,35.5,0.2,,,SSW,50,18:12,19.7,64,,ENE,2,1021.0,34.1,22,,SW,13,1017.7
,2016-03-6,13.4,33.9,0,,,NNE,30,16:36,20.2,70,,S,7,1022.3,33.5,12,,ENE,9,1019.0
,2016-03-7,12.9,35.3,0,,,ESE,37,16:41,19.0,78,,E,7,1021.8,33.1,21,,E,6,1017.9
,2016-03-8,14.5,32.7,0,,,ENE,41,19:04,20.3,69,,SE,9,1024.0,30.9,25,,NE,22,1020.5
,2016-03-9,11.6,33.4,0,,,NW,37,10:36,18.7,79,,N,2,1021.9,31.5,32,,NW,20,1017.9
,2016-03-10,16.6,30.9,0,,,E,41,17:15,22.1,62,3,SE,9,1021.4,29.4,45,1,ENE,20,1018.4
,2016-03-11,18.9,23.9,5.2,,,W,30,07:20,19.0,98,8,ESE,20,1020.2,22.3,71,7,N,13,1019.0
,2016-03-12,14.2,32.1,3.8,,,WSW,46,15:46,19.7,79,,SSE,7,1020.5,31.3,36,,W,13,1017.4
,2016-03-13,16.1,31.0,0.4,,,E,41,18:48,20.7,76,1,ESE,11,1020.6,28.7,44,,ENE,6,1016.4
,2016-03-14,17.0,32.1,0,,,ENE,43,16:42,20.7,82,,NNE,6,1017.5,28.9,37,8,S,28,1014.1
,2016-03-15,15.0,24.9,0,,,SE,37,20:15,18.5,72,8,SSE,13,1020.5,22.7,53,8,SE,22,1019.4
,2016-03-16,14.4,25.7,0,,,E,52,13:58,17.4,65,6,SSE,13,1021.3,24.0,42,3,SE,19,1018.1
,2016-03-17,13.4,28.6,0,,,NE,31,18:51,16.8,76,7,E,6,1017.3,26.9,35,1,NNE,13,1011.0
,2016-03-18,14.0,19.6,7.4,,,NNW,87,12:01,16.8,95,8,N,24,1001.3,19.3,49,,WNW,46,996.7
,2016-03-19,5.3,21.0,4.4,,,E,33,19:43,10.8,70,,SSE,4,1010.6,19.8,30,,WSW,9,1010.3
,2016-03-20,8.2,20.3,0,,,S,33,09:43,11.8,62,,SSE,11,1018.1,18.2,41,5,ESE,15,1016.1
,2016-03-21,7.2,22.2,0,,,ESE,43,18:20,12.6,70,,SE,13,1019.3,20.1,43,8,SSE,20,1016.1
,2016-03-22,5.6,23.3,0,,,S,35,09:27,13.5,75,,SSE,15,1018.7,21.5,39,1,SSE,13,1015.3
,2016-03-23,5.8,25.0,0,,,NNW,28,16:33,10.2,99,8, ,Calm,1018.3,23.8,35,1,NNW,7,1015.9
,2016-03-24,10.0,22.1,0,,,SSE,19,14:18,14.9,71,8, ,Calm,1021.0,21.7,45,8,SSW,11,1019.7
,2016-03-25,12.6,25.1,0.2,,,WNW,30,14:14,14.5,92,8,ENE,7,1018.7,23.9,41,1,NW,19,1015.8
,2016-03-26,10.6,26.8,0,,,N,33,14:53,16.2,80,,NW,7,1018.1,25.5,25,,WNW,11,1015.1
,2016-03-27,11.7,26.2,0,,,E,52,17:59,16.6,74,,SE,7,1018.4,25.0,36,1,NE,19,1015.2
,2016-03-28,15.1,23.4,0,,,NNE,28,10:02,16.3,78,8,ENE,6,1018.8,21.5,59,8,SE,13,1014.9
,2016-03-29,14.7,22.7,0,,,NE,31,14:27,16.6,77,7,SE,11,1017.9,21.5,49,8,NNE,13,1015.7
,2016-03-30,13.7,23.7,0,,,NW,39,12:39,16.1,76,8,W,7,1015.2,20.4,38,8,WSW,20,1012.6
,2016-03-31,7.3,24.0,0,,,NNW,31,14:29,13.4,70,,NW,6,1017.8,22.7,37,,NW,20,1015.2
