"Daily Weather Observations for Canberra, Australian Capital Territory for May 2016"
"Prepared at 13:02 GMT on Tuesday 21 June 2016   IDCJDW2801.201605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-05-1,10.0,21.0,6.8,,,NW,80,13:27,18.6,80,2,NW,39,1011.4,18.0,37,,WNW,39,1011.7
,2016-05-2,4.6,16.1,0,,,NW,44,14:51,10.4,60,,NNW,19,1017.9,14.8,41,,NW,31,1014.3
,2016-05-3,6.2,19.2,0,,,WNW,59,15:22,13.1,58,,NW,24,1011.8,18.3,38,,WNW,33,1007.6
,2016-05-4,11.7,17.7,0,,,NNW,43,13:24,14.7,54,,NW,26,1015.7,16.5,41,,WNW,22,1016.5
,2016-05-5,0.2,19.5,0,,,N,35,15:38,8.1,74,, ,Calm,1021.7,18.6,40,,N,24,1017.6
,2016-05-6,1.3,22.5,0,,,NNW,26,15:16,9.2,76,, ,Calm,1022.0,22.5,36,,NNW,17,1018.9
,2016-05-7,1.4,23.9,0,,,NNW,30,14:57,9.6,80,,NW,6,1022.9,23.0,33,,NW,19,1019.3
,2016-05-8,9.6,16.1,0.8,,,N,28,19:08,11.9,91,8, ,Calm,1019.8,14.2,99,4,ESE,6,1014.8
,2016-05-9,11.9,17.3,28.2,,,NNW,72,15:35,15.8,95,7,WNW,13,1008.4,16.6,98,8,NNW,41,1001.6
,2016-05-10,12.1,17.4,7.0,,,NW,65,10:15,12.9,88,8,NNW,37,1005.6,13.4,88,4,NW,30,1006.4
,2016-05-11,7.2,13.7,0.8,,,NW,63,23:54,10.8,64,,WNW,17,1015.7,12.6,55,8,WNW,31,1014.2
,2016-05-12,8.8,16.1,0,,,NW,69,01:32,11.6,84,8,NNW,30,1016.2,15.0,70,7,NNW,28,1016.4
,2016-05-13,11.4,20.1,0,,,NW,56,06:09,14.9,70,3,NNW,24,1023.5,18.8,45,,WNW,20,1022.1
,2016-05-14,0.4,20.0,0,,,NW,35,16:54,5.3,99,8,ESE,4,1026.8,19.0,46,,NNW,20,1022.0
,2016-05-15,5.2,21.3,0,,,WNW,54,14:01,14.7,75,,N,19,1018.6,20.3,32,,WNW,26,1015.7
,2016-05-16,2.1,19.5,0,,,NW,39,13:34,8.9,83,,SE,6,1022.3,18.9,44,,NW,28,1018.4
,2016-05-17,8.8,20.5,0,,,WNW,56,11:01,16.9,56,,WNW,20,1017.7,19.6,30,,NW,24,1017.1
,2016-05-18,0.2,15.1,0,,,NNW,37,15:24,5.5,97,8,N,11,1020.8,14.6,52,,NNW,20,1016.4
,2016-05-19,1.3,17.0,0,,,W,61,15:24,11.9,65,,NW,19,1018.0,14.6,52,,WNW,35,1015.4
,2016-05-20,11.0,19.2,0,,,WNW,41,00:43,14.6,,,,,1020.7,17.9,51,,NNW,26,1020.5
,2016-05-21,2.0,19.1,0,,,SE,15,22:50,8.7,94,,ESE,6,1029.0,18.7,52,,N,4,1024.0
,2016-05-22,1.4,21.4,0,,,NW,28,13:24,8.5,89,,NNW,7,1025.8,20.7,45,,NW,20,1021.0
,2016-05-23,6.6,17.0,0,,,W,65,11:31,14.1,81,8,NW,26,1015.0,14.8,42,,WNW,24,1015.7
,2016-05-24,5.0,15.7,0,,,NNW,48,13:07,10.4,63,,NNW,22,1018.5,14.5,47,,WNW,30,1015.9
,2016-05-25,-0.7,14.7,0,,,NNW,37,12:59,5.9,89,1,SE,7,1018.6,11.9,64,8,NNW,28,1014.0
,2016-05-26,5.8,12.5,0,,,NW,44,12:25,8.6,93,8,NNW,28,1006.1,12.1,80,8,NW,28,1000.8
,2016-05-27,7.0,12.0,3.8,,,WNW,52,13:13,8.7,60,5,NW,24,1004.5,11.3,51,,WNW,30,1004.1
,2016-05-28,1.2,11.9,0,,,NNW,28,00:03,4.4,85,7,ESE,9,1007.3,9.9,75,8,N,15,1007.8
,2016-05-29,-3.9,12.5,0,,,N,35,13:27,2.1,99,8,S,7,1018.4,11.8,52,,NNW,24,1017.6
,2016-05-30,-1.8,15.0,0.2,,,N,17,14:26,2.5,87,, ,Calm,1026.6,14.9,46,2,NW,9,1024.5
,2016-05-31,-0.4,14.0,0,,,ESE,31,12:32,5.9,88,,SSE,6,1031.2,11.8,73,8,E,20,1028.5
