Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,11/1/2015,19.3,29.5,0,,,ENE,31,14:18,27.7,54,,ENE,17,1019.4,26.3,56,,NE,22,1016.5
39123,11/2/2015,21.6,30.7,0,,,NNE,31,14:16,28.3,54,,NE,13,1018.4,27.3,58,,NE,17,1015
39123,11/3/2015,20.6,30.8,0,,,NE,35,13:46,28.6,60,,NE,9,1017.1,26.8,64,,NE,22,1014.6
39123,11/4/2015,21.8,30.8,0,,,NE,33,15:45,29.1,54,,NE,11,1016.4,27.5,63,,NE,20,1012.6
39123,11/5/2015,21.7,30.9,0,,,NE,39,14:02,27.1,66,,NE,9,1014.6,27.8,66,,NE,24,1010.8
39123,11/6/2015,20.2,31.8,8.4,,,S,46,3:22,25.4,83,,N,9,1014.5,29.7,58,,NNE,15,1009.4
39123,11/7/2015,23,32,0,,,S,44,10:41,26.7,61,,WNW,15,1013.9,22.6,80,,SE,15,1010.8
39123,11/8/2015,19.9,31.8,1.8,,,ENE,52,17:24,26.9,67,,WNW,7,1012.5,24.8,81,,N,9,1008.8
39123,11/9/2015,19.7,30.1,0.2,,,ENE,39,14:18,26.1,56,,ESE,24,1014.4,24.1,74,,ENE,22,1011.4
39123,11/10/2015,18.8,29.9,1,,,E,50,15:39,25.8,55,,ESE,24,1014.6,27,60,,E,30,1011.1
39123,11/11/2015,20,30.3,0,,,E,50,15:54,26.8,59,,ESE,20,1016.5,27.3,53,,ENE,26,1014.5
39123,11/12/2015,19.5,30.7,0,,,E,35,20:21,27.4,58,,ESE,19,1019,28,61,,ENE,20,1015.6
39123,11/13/2015,20.4,30.9,0,,,E,31,14:47,27.3,66,,E,17,1015.9,28.4,61,,ENE,20,1011.8
39123,11/14/2015,21.9,32.9,0,,,,,,27.5,58,,NW,11,1012.5,28.9,63,,NE,20,1007
39123,11/15/2015,,,,,,,,,,,,,,,,,,,,
39123,11/16/2015,,,,,,,,,,,,,,,21.8,79,,ESE,39,1009.8
39123,11/17/2015,18.8,27.1,,,,ESE,54,14:14,24.9,71,,ESE,26,1016,24.5,65,,ESE,33,1014.7
39123,11/18/2015,19.4,29,0,,,ESE,35,8:15,25.8,58,,ESE,20,1019.2,27.4,54,,ENE,20,1016.4
39123,11/19/2015,20.2,29.6,0,,,ENE,30,9:29,27.1,53,,E,13,1018.5,27.5,54,,ENE,19,1015.3
39123,11/20/2015,20,29.2,0,,,ENE,31,13:55,25.9,66,,E,17,1018.2,27.3,58,,ENE,19,1015.6
39123,11/21/2015,21,30.6,0,,,ENE,28,12:57,27.9,53,,NNE,9,1016.7,28.1,56,,NE,15,1012.8
39123,11/22/2015,22.1,31.4,0,,,ENE,31,13:27,28.8,61,,ENE,13,1016.5,28.6,59,,ENE,24,1013.4
39123,11/23/2015,22,31.1,0,,,NE,30,13:12,28.7,54,,NE,13,1015.6,29,58,,NE,15,1012
39123,11/24/2015,22.1,31.6,0,,,NE,33,14:00,29.1,54,,NE,13,1015.1,28.6,56,,NE,19,1011.6
39123,11/25/2015,22.8,31.9,0,,,ENE,30,11:12,30.4,54,,NE,13,1016.2,29.8,58,,ENE,17,1012.7
39123,11/26/2015,23.5,32.3,0,,,N,50,22:06,30.3,62,,NE,15,1014.6,29.4,64,,NE,20,1011.1
39123,11/27/2015,22.9,34.7,0,,,ESE,50,22:00,29.5,62,,WNW,11,1012.3,30.2,65,,NE,20,1009.7
39123,11/28/2015,22.3,32.9,0,,,NE,37,13:28,28.9,70,,ENE,9,1014,29.2,67,,NE,22,1011
39123,11/29/2015,21.9,32.5,3,,,NE,37,12:01,29.6,67,,NE,17,1014.5,29.7,62,,NE,17,1011
39123,11/30/2015,23.8,33.3,0,,,N,48,6:55,30.4,57,,NE,13,1013.8,29.5,60,,NE,20,1011.5
