"Daily Weather Observations for Gladstone, Queensland for January 2016"
"Prepared at 13:05 GMT on Sunday 19 June 2016   IDCJDW4049.201601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,20.9,32.7,0,,,ENE,35,14:41,27.9,43,,ESE,17,1012.6,29.4,42,,ENE,24,1008.8
,2016-01-2,21.4,32.2,0,,,NE,35,14:14,29.1,49,,ENE,13,1010.9,29.7,53,,NE,19,1007.4
,2016-01-3,23.4,32.1,0,,,E,43,22:17,30.1,48,,NE,19,1009.8,27.3,55,,ENE,20,1007.3
,2016-01-4,21.4,27.2,3.8,,,ESE,56,14:01,23.5,99,,E,33,1008.4,23.8,100,,E,35,1005.2
,2016-01-5,20.8,34.8,20.2,,,W,28,18:07,27.0,74,,W,7,1006.6,31.3,61,,NE,7,1003.2
,2016-01-6,23.4,35.5,0.2,,,NE,31,12:42,29.5,63,,W,6,1007.5,30.3,64,,NE,15,1004.8
,2016-01-7,24.5,36.1,0,,,NNE,33,13:48,30.7,41,,SSW,9,1010.9,32.5,42,,NE,20,1007.9
,2016-01-8,23.8,32.5,0,,,,,,26.9,68,,E,31,1017.0,30.2,54,,ENE,26,1015.1
,2016-01-9,23.4,32.2,,,,E,39,10:14,28.1,63,,ESE,20,1019.7,30.5,50,,ENE,22,1016.7
,2016-01-10,22.3,32.7,0,,,NE,33,14:52,27.7,61,,ENE,11,1018.5,29.2,55,,NE,20,1015.5
,2016-01-11,22.2,33.1,0,,,ENE,35,14:26,27.3,57,,ENE,13,1017.0,30.3,51,,ENE,22,1013.2
,2016-01-12,22.6,33.7,0,,,ENE,33,15:49,27.9,58,,NE,15,1016.7,30.5,49,,ENE,20,1013.9
,2016-01-13,22.1,32.9,0,,,E,35,21:47,28.5,54,,E,13,1017.8,30.0,48,,ENE,22,1015.3
,2016-01-14,22.4,33.1,0,,,ENE,41,14:22,30.6,50,,ENE,17,1017.4,31.4,52,,ENE,26,1015.0
,2016-01-15,23.5,34.3,0,,,E,35,22:35,28.8,66,,ENE,11,1015.5,31.9,55,,NE,20,1011.5
,2016-01-16,21.9,32.0,3.6,,,ESE,59,01:57,26.7,67,,SE,24,1017.0,28.8,65,,E,43,1014.1
,2016-01-17,22.4,31.1,0,,,ESE,61,17:49,24.5,57,,SE,22,1017.3,29.0,59,,E,37,1014.0
,2016-01-18,21.0,32.1,0,,,E,52,20:07,28.2,48,,ESE,22,1016.7,29.5,46,,ENE,30,1014.3
,2016-01-19,21.3,31.8,0,,,ENE,41,11:51,28.4,51,,ESE,17,1018.1,30.1,48,,ENE,26,1014.7
,2016-01-20,21.8,33.4,0,,,ENE,33,14:21,29.5,46,,E,17,1018.1,29.9,43,,NE,20,1014.6
,2016-01-21,22.1,33.3,0,,,ENE,30,15:12,29.4,51,,NE,11,1017.2,30.8,42,,NE,17,1013.6
,2016-01-22,22.9,34.0,0,,,NE,31,11:56,30.2,43,,ENE,11,1015.1,30.4,44,,NE,20,1011.6
,2016-01-23,23.1,33.9,0,,,NNE,39,13:51,28.7,56,,NW,9,1011.5,31.2,55,,NNE,22,1006.4
,2016-01-24,25.3,35.4,0.6,,,NNE,39,16:24,29.3,64,,N,9,1009.7,32.9,58,,NE,20,1006.0
,2016-01-25,25.1,34.4,0.2,,,NE,37,15:09,30.2,60,,N,7,1011.9,30.5,60,,NE,24,1008.5
,2016-01-26,24.9,34.6,0,,,ENE,41,23:59,30.7,63,,ENE,17,1012.1,27.1,84,,NE,15,1010.3
,2016-01-27,22.8,31.0,78.0,,,NE,44,00:40,24.1,93,,E,15,1013.4,28.0,73,,ENE,19,1010.3
,2016-01-28,24.0,33.4,0.4,,,NE,31,00:28,27.6,79,,NW,6,1010.8,30.0,66,,NW,13,1007.0
,2016-01-29,26.7,36.4,0,,,NNE,44,15:48,29.8,69,,NW,13,1007.1,31.6,68,,NNE,22,1003.6
,2016-01-30,26.1,32.7,1.8,,,N,39,15:00,28.1,74,,NW,9,1008.9,31.0,71,,NNE,19,1006.1
,2016-01-31,23.8,33.8,10.2,,,NNE,33,11:18,29.8,84,,N,9,1011.2,31.4,70,,NE,13,1007.5
