"Daily Weather Observations for Gladstone, Queensland for February 2016"
"Prepared at 13:04 GMT on Saturday 18 June 2016   IDCJDW4049.201602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-02-1,27.0,34.4,0,,,NNE,35,13:16,29.6,81,,NW,13,1009.8,31.6,69,,N,15,1006.4
,2016-02-2,26.4,37.3,0,,,NNE,35,14:14,30.4,73,,NW,11,1008.1,32.4,69,,NNE,17,1003.7
,2016-02-3,24.0,33.7,14.2,,,WSW,52,21:57,28.6,87,,W,9,1005.6,28.6,92,,NNE,6,1002.2
,2016-02-4,23.6,34.3,81.4,,,SSE,48,23:46,29.2,79,,WSW,11,1003.4,31.0,71,,NE,22,1001.2
,2016-02-5,21.5,26.4,9.4,,,ESE,59,13:02,23.1,98,,SE,19,1005.6,26.0,78,,ESE,28,1004.5
,2016-02-6,22.7,26.3,1.6,,,E,54,12:11,24.2,92,,SE,24,1007.4,25.1,85,,ESE,26,1006.2
,2016-02-7,22.4,30.4,1.2,,,ESE,54,13:15,25.6,80,,SE,22,1010.6,29.5,65,,E,31,1008.6
,2016-02-8,23.1,31.3,0.2,,,E,54,17:09,26.4,64,,SE,20,1013.1,30.6,55,,E,28,1010.0
,2016-02-9,22.1,31.7,0,,,ESE,65,19:22,27.5,63,,SE,26,1012.5,30.0,55,,E,37,1010.3
,2016-02-10,22.0,31.1,0,,,ESE,50,17:14,27.7,57,,SE,20,1011.0,30.1,57,,ENE,22,1008.5
,2016-02-11,21.9,32.1,0,,,E,52,15:43,27.3,57,,SE,24,1010.6,29.3,59,,E,33,1007.6
,2016-02-12,22.4,32.1,0,,,E,54,17:28,27.8,58,,SE,22,1010.8,29.3,55,,E,30,1007.5
,2016-02-13,21.3,32.5,0,,,SSE,67,17:28,27.9,56,,SSE,20,1008.7,31.0,45,,SE,24,1005.4
,2016-02-14,21.1,32.1,10.0,,,ESE,35,10:03,28.2,56,,SSE,13,1007.6,30.1,62,,ENE,20,1005.7
,2016-02-15,22.6,32.5,0,,,ENE,31,14:05,28.9,69,,ESE,9,1009.2,30.7,59,,NE,17,1006.5
,2016-02-16,22.3,32.0,0,,,SE,33,07:42,27.2,65,,SE,17,1009.0,31.4,58,,ENE,15,1005.7
,2016-02-17,23.6,32.6,0,,,ENE,33,17:23,29.9,69,,NE,7,1007.2,30.8,66,,ENE,19,1005.5
,2016-02-18,24.6,33.4,0.2,,,NE,31,06:29,27.7,82,,ENE,9,1008.7,30.8,67,,NE,17,1006.2
,2016-02-19,25.4,34.1,0.2,,,ENE,31,16:21,31.1,67,,NE,15,1012.1,31.4,60,,NE,19,1010.2
,2016-02-20,24.1,33.1,1.4,,,ESE,46,21:49,29.9,68,,NE,11,1015.1,30.9,65,,ENE,22,1012.5
,2016-02-21,22.7,32.9,0.2,,,ESE,52,15:09,27.8,63,,SE,22,1017.1,29.4,58,,ESE,31,1014.4
,2016-02-22,22.5,31.1,0.6,,,E,63,16:46,26.0,74,,SE,26,1018.5,29.6,61,,ESE,35,1015.3
,2016-02-23,22.2,31.3,0,,,ESE,57,16:18,27.3,60,,SE,30,1016.5,29.4,52,,E,37,1013.1
,2016-02-24,22.4,32.1,0,,,E,46,15:58,26.1,63,,SE,26,1015.5,30.0,54,,E,30,1012.6
,2016-02-25,22.3,32.3,0,,,ESE,33,08:58,27.8,61,,SE,17,1015.1,30.2,56,,ENE,20,1012.4
,2016-02-26,21.0,33.9,0,,,S,50,01:28,27.3,66,,WSW,7,1012.8,30.4,59,,NE,15,1008.3
,2016-02-27,22.8,32.7,0,,,SE,37,08:37,28.6,54,,ESE,20,1012.6,31.8,52,,ENE,17,1009.8
,2016-02-28,23.8,35.7,0,,,E,52,19:55,28.6,59,,S,13,1013.5,32.1,57,,ENE,20,1009.1
,2016-02-29,23.7,34.4,0,,,ESE,56,17:27,29.1,59,,ESE,22,1014.1,33.0,40,,SSE,20,1010.5
