"Daily Weather Observations for Gladstone, Queensland for March 2016"
"Prepared at 13:05 GMT on Friday 17 June 2016   IDCJDW4049.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-03-1,23.9,32.9,0,,,E,65,13:41,25.4,84,,ESE,22,1014.7,29.8,67,,E,35,1011.8
,2016-03-2,22.1,29.0,23.8,,,E,61,18:43,26.2,89,,ESE,19,1016.7,23.9,98,,SE,22,1015.1
,2016-03-3,23.4,29.7,13.0,,,E,54,20:17,26.9,76,,ESE,30,1018.1,29.4,70,,E,31,1016.0
,2016-03-4,22.4,30.3,0.6,,,E,56,16:03,26.8,68,,ESE,24,1018.1,28.9,57,,E,33,1014.5
,2016-03-5,22.1,28.3,0,,,ESE,56,13:47,25.4,73,,SE,19,1017.6,25.2,84,,SE,22,1015.3
,2016-03-6,21.2,24.9,45.2,,,E,57,12:18,22.4,100,,SSE,19,1017.3,23.2,100,,E,35,1015.0
,2016-03-7,21.6,26.7,116.0,,,ESE,48,05:41,23.0,99,,SSE,19,1016.9,24.9,82,,ESE,28,1015.2
,2016-03-8,22.3,28.8,81.6,,,E,46,11:46,26.3,70,,SE,26,1017.1,28.4,64,,E,28,1016.2
,2016-03-9,22.0,30.1,0.2,,,ENE,44,13:08,27.4,74,,ESE,20,1018.4,28.1,71,,E,28,1016.0
,2016-03-10,22.7,31.2,1.0,,,E,50,14:54,27.2,73,,ESE,24,1018.1,29.0,67,,E,35,1015.5
,2016-03-11,23.0,30.5,0.2,,,E,50,16:01,26.6,73,,ESE,28,1016.8,28.9,66,,E,33,1014.1
,2016-03-12,22.7,30.9,0.2,,,SE,46,22:30,26.3,68,,SE,24,1016.6,30.5,49,,E,19,1013.1
,2016-03-13,23.6,31.7,0,,,ESE,50,09:24,28.2,73,,SE,24,1013.9,29.7,68,,E,28,1010.7
,2016-03-14,22.8,30.3,1.0,,,ESE,52,09:27,26.9,69,,ESE,28,1013.2,28.4,67,,E,31,1010.8
,2016-03-15,22.0,31.3,0,,,E,41,19:14,27.1,66,,SE,19,1012.4,30.2,57,,ENE,22,1009.8
,2016-03-16,22.8,30.1,0,,,ESE,33,12:14,26.1,76,,SSE,13,1012.0,27.4,77,,ENE,15,1008.6
,2016-03-17,22.5,30.8,2.0,,,ESE,44,15:02,26.2,78,,SE,17,1010.3,26.4,86,,E,26,1006.4
,2016-03-18,23.0,31.4,0.8,,,ESE,35,09:32,26.6,79,,SE,15,1007.7,29.2,72,,ENE,19,1004.8
,2016-03-19,23.7,32.0,0.2,,,E,39,20:57,28.6,72,,ENE,9,1008.0,30.5,66,,ENE,15,1005.0
,2016-03-20,23.8,31.8,0.2,,,ESE,33,21:41,28.3,77,,ESE,15,1010.7,30.0,63,,ENE,19,1007.2
,2016-03-21,22.8,30.4,6.4,,,SE,52,20:58,26.2,77,,SE,9,1010.6,27.2,73,,ENE,15,1007.0
,2016-03-22,19.5,29.0,46.0,,,ESE,43,20:16,23.4,85,,SSE,11,1011.6,27.7,64,,ENE,19,1009.1
,2016-03-23,21.7,30.2,0,,,ESE,33,09:21,26.9,67,,ESE,19,1015.9,28.8,61,,ENE,20,1013.9
,2016-03-24,22.7,30.2,0,,,E,30,14:59,27.6,67,,E,15,1019.9,28.8,58,,ENE,19,1016.3
,2016-03-25,22.8,29.6,0,,,E,33,11:18,26.9,66,,SE,15,1018.5,28.4,52,,ENE,22,1015.3
,2016-03-26,22.1,29.5,0,,,E,30,10:06,26.8,62,,ESE,13,1016.9,28.1,59,,ENE,20,1014.6
,2016-03-27,22.4,29.9,0,,,E,43,19:00,24.3,74,,SSE,11,1016.4,28.5,53,,ENE,24,1013.2
,2016-03-28,22.0,30.0,0,,,ENE,35,13:18,26.6,68,,SE,17,1017.3,27.8,62,,ENE,24,1014.7
,2016-03-29,22.2,30.5,0,,,ENE,33,12:51,26.7,66,,ESE,13,1018.1,28.7,63,,ENE,20,1015.5
,2016-03-30,22.1,30.7,0,,,ENE,26,12:16,25.2,69,,S,9,1017.1,28.7,62,,NE,17,1013.5
,2016-03-31,23.1,30.8,0,,,ENE,24,12:15,26.1,73,,SSW,7,1016.6,29.6,62,,NE,13,1012.9
