"Daily Weather Observations for Gladstone, Queensland for April 2016"
"Prepared at 16:04 GMT on Thursday 16 June 2016   IDCJDW4049.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,23.2,31.0,0,,,ENE,33,14:25,28.1,69,,E,19,1017.6,28.8,62,,ENE,22,1015.1
,2016-04-2,22.4,30.5,0,,,E,37,17:32,27.8,65,,ESE,13,1018.9,28.9,55,,ENE,20,1015.8
,2016-04-3,21.7,30.3,0,,,E,46,14:55,26.3,65,,SE,15,1018.1,28.4,52,,E,31,1015.4
,2016-04-4,21.1,29.9,0,,,ESE,54,15:39,26.7,60,,SE,20,1017.6,28.0,55,,E,35,1013.6
,2016-04-5,21.2,30.2,0,,,ESE,48,14:26,26.1,61,,SSE,19,1016.8,28.2,59,,ESE,24,1014.1
,2016-04-6,21.3,30.1,0,,,ESE,44,12:43,26.3,60,,SE,24,1018.2,28.5,60,,E,28,1015.5
,2016-04-7,21.3,29.8,0,,,ESE,35,08:47,26.8,60,,ESE,20,1019.9,28.4,52,,ENE,19,1016.8
,2016-04-8,21.4,30.4,0,,,E,43,15:30,26.3,61,,SE,17,1019.7,27.1,64,,E,26,1016.9
,2016-04-9,21.2,29.5,0,,,E,46,16:40,25.9,63,,ESE,22,1020.1,27.4,54,,E,28,1017.3
,2016-04-10,21.7,30.8,0,,,E,37,10:06,25.2,73,,SE,15,1020.1,27.6,64,,ENE,15,1017.4
,2016-04-11,21.6,29.9,0,,,S,50,07:09,27.1,68,,ESE,9,1017.6,27.9,64,,ENE,17,1014.9
,2016-04-12,21.6,30.4,0,,,E,46,14:45,26.3,73,,SE,15,1016.3,27.8,64,,ENE,31,1014.2
,2016-04-13,20.1,30.1,0,,,ESE,67,16:43,24.5,72,,SE,24,1018.9,26.0,63,,ESE,35,1016.7
,2016-04-14,21.3,28.8,0.2,,,ESE,54,10:02,25.1,65,,SE,22,1020.9,26.7,60,,ESE,33,1019.3
,2016-04-15,20.7,28.4,0,,,E,54,13:39,25.5,58,,SE,19,1021.4,26.7,51,,E,33,1018.0
,2016-04-16,19.8,25.1,0,,,SE,48,11:22,22.7,63,,SSE,22,1018.4,23.2,71,,ENE,17,1015.7
,2016-04-17,19.7,28.4,1.2,,,ESE,33,09:22,24.2,66,,SE,17,1017.2,25.4,62,,SE,13,1014.2
,2016-04-18,20.7,28.2,0.2,,,ESE,39,15:28,23.9,75,,SSE,11,1016.8,26.0,60,,E,20,1014.1
,2016-04-19,21.2,29.3,0,,,E,39,17:11,24.6,70,,SSE,17,1018.3,26.9,59,,ENE,22,1016.0
,2016-04-20,21.5,29.3,0,,,E,37,14:20,24.9,69,,SE,20,1020.4,27.0,59,,E,24,1017.4
,2016-04-21,20.8,29.8,0,,,E,35,11:13,25.3,68,,SE,15,1020.3,27.5,57,,E,22,1016.7
,2016-04-22,21.2,29.8,0,,,ENE,31,11:55,25.5,71,,SE,15,1018.7,28.2,59,,ENE,19,1014.9
,2016-04-23,20.2,30.2,0,,,E,48,21:27,25.1,70,,SE,7,1016.9,27.2,62,,ENE,17,1014.2
,2016-04-24,20.4,29.0,0,,,E,43,17:50,23.9,55,,SE,22,1020.3,27.1,54,,ENE,24,1016.7
,2016-04-25,19.5,28.3,0,,,SE,54,09:15,23.8,54,,SE,26,1021.4,27.5,45,,ESE,26,1018.4
,2016-04-26,20.3,28.6,0,,,SE,63,09:28,23.9,59,,SE,33,1020.0,25.1,57,,ESE,28,1017.8
,2016-04-27,20.2,28.5,0,,,ESE,61,10:07,24.4,66,,SE,26,1019.7,26.9,51,,ESE,33,1016.6
,2016-04-28,20.4,28.1,0.6,,,ESE,56,16:01,22.6,84,,SE,22,1020.1,26.7,66,,ESE,31,1018.1
,2016-04-29,21.0,28.3,0,,,ESE,48,12:30,24.4,78,,ESE,20,1020.6,25.2,79,,ESE,19,1017.4
,2016-04-30,21.1,30.0,0,,,ESE,35,10:16,25.1,79,,SSE,11,1019.7,27.1,68,,E,17,1016.0
