"Daily Weather Observations for Gladstone, Queensland for May 2016"
"Prepared at 13:05 GMT on Tuesday 21 June 2016   IDCJDW4049.201605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-05-1,21.9,31.8,0,,,NE,24,12:59,24.9,77,,WSW,4,1018.6,27.1,73,,NE,13,1014.5
,2016-05-2,22.1,33.2,0,,,NE,24,12:37,25.9,79,,W,4,1016.9,28.9,65,,NE,17,1012.7
,2016-05-3,21.6,30.6,0,,,NW,46,23:48,25.8,74,,NNW,4,1015.5,27.1,69,,NE,9,1011.3
,2016-05-4,23.0,27.0,0,,,WSW,26,09:38,24.9,78,,SW,7,1016.4,25.7,75,,NE,7,1013.6
,2016-05-5,20.1,28.4,20.2,,,E,35,13:55,24.2,58,,SE,11,1019.2,25.9,60,,E,24,1016.2
,2016-05-6,20.2,26.0,0.2,,,SE,26,18:56,24.0,76,,SE,11,1019.1,24.4,70,,ENE,15,1016.1
,2016-05-7,19.8,27.4,0,,,E,43,16:25,23.8,74,,SE,15,1018.7,25.7,65,,E,24,1015.6
,2016-05-8,19.5,28.2,0,,,SSE,30,03:57,23.7,69,,SE,15,1018.7,26.5,62,,ENE,17,1014.7
,2016-05-9,19.3,28.6,0,,,NE,26,16:02,24.8,74,,NNE,4,1016.3,26.6,64,,NE,15,1013.0
,2016-05-10,20.8,30.5,0,,,N,26,15:49,24.5,81,,NW,11,1014.5,26.8,76,,NE,13,1010.9
,2016-05-11,20.3,22.2,1.6,,,SSW,41,03:41,22.1,50,,SSW,19,1017.4,21.4,47,,S,7,1015.5
,2016-05-12,14.7,27.7,0,,,SW,28,06:02,19.5,37,,SW,13,1019.9,26.4,29,,ENE,13,1016.9
,2016-05-13,17.2,27.3,0,,,SW,31,07:09,20.3,43,,SSW,15,1022.2,25.0,42,,ENE,17,1019.1
,2016-05-14,18.2,26.7,0,,,ESE,37,11:03,22.4,66,,SSE,17,1022.4,24.5,56,,E,24,1019.2
,2016-05-15,18.4,27.4,0,,,SSE,30,08:03,22.9,60,,SE,15,1020.5,25.5,57,,E,19,1017.0
,2016-05-16,18.0,27.1,0,,,E,30,11:00,23.6,67,,SE,13,1020.3,25.7,54,,ENE,15,1017.8
,2016-05-17,18.8,27.7,0,,,E,31,12:04,23.4,69,,SE,11,1020.0,25.3,66,,E,22,1017.1
,2016-05-18,19.5,27.8,0,,,ENE,28,11:29,23.8,73,,SE,13,1018.2,27.1,54,,ENE,9,1014.9
,2016-05-19,19.7,28.4,0,,,ENE,31,14:24,24.2,74,,SE,9,1017.5,26.3,65,,ENE,20,1014.0
,2016-05-20,19.1,28.7,0,,,ENE,28,15:50,23.6,62,,SE,15,1019.3,26.7,53,,ENE,11,1016.3
,2016-05-21,18.5,27.6,0,,,E,54,14:08,23.2,71,,SE,20,1022.7,25.7,59,,E,31,1019.5
,2016-05-22,19.4,27.3,0,,,E,44,13:24,22.3,76,,SE,20,1022.8,24.0,63,,E,26,1019.8
,2016-05-23,19.7,27.5,0,,,S,26,07:18,23.6,66,,SE,13,1020.0,25.1,58,,NE,13,1016.7
,2016-05-24,19.6,30.5,0,,,NE,19,14:15,22.4,76,,W,6,1018.2,27.5,55,,NE,11,1014.4
,2016-05-25,17.2,29.5,0,,,NE,26,16:02,19.6,33,,W,6,1018.5,25.4,38,,NE,13,1014.5
,2016-05-26,18.6,29.8,0,,,NNW,31,21:11,22.2,78,, ,Calm,1017.1,27.0,61,,NNE,13,1011.3
,2016-05-27,20.6,32.5,0,,,SW,43,21:06,23.6,80,,NW,13,1011.7,30.8,51,,N,11,1006.8
,2016-05-28,18.4,26.3,0,,,W,31,03:15,21.0,56,,SSW,9,1015.8,25.2,38,,W,7,1012.4
,2016-05-29,15.2,25.9,0,,,SSW,28,03:19,17.8,43,,SW,4,1019.6,23.8,38,,NE,11,1016.7
,2016-05-30,14.4,25.6,0,,,E,28,17:20,19.2,42,,ESE,7,1022.8,23.8,45,,ENE,15,1019.8
,2016-05-31,17.1,25.5,0,,,E,39,13:14,20.7,63,,SE,17,1024.6,23.0,56,,E,26,1021.4
