"Daily Weather Observations for Gladstone, Queensland for June 2016"
"Prepared at 06:26 GMT on Thursday 30 June 2016   IDCJDW4049.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gladstone Radar {station 039123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,18.3,20.6,0,,,SSE,33,03:11,19.5,67,,SSE,19,1022.5,19.3,75,,SE,19,1020.4
,2016-06-2,16.4,24.9,0.8,,,ESE,43,10:40,19.4,80,,SE,20,1021.2,22.5,73,,E,24,1018.0
,2016-06-3,17.5,21.3,0.2,,,E,43,19:25,19.7,86,,SE,19,1019.3,20.5,90,,E,28,1014.7
,2016-06-4,17.0,24.1,65.4,,,NNW,48,02:36,19.5,95,,WSW,6,1010.0,23.4,75,,WNW,6,1005.9
,2016-06-5,13.0,21.2,0,,,WSW,48,14:47,15.7,59,,WSW,13,1008.8,20.3,40,,W,15,1005.5
,2016-06-6,13.6,23.2,0.2,,,WSW,50,09:52,16.7,53,,WSW,15,1012.7,22.8,37,,W,11,1008.6
,2016-06-7,13.7,24.9,0,,,WSW,24,03:25,17.2,62,,WSW,6,1014.9,22.5,53,,NE,9,1011.4
,2016-06-8,14.5,24.7,0,,,NE,20,14:44,18.1,56,,E,6,1017.2,22.3,48,,NE,11,1014.2
,2016-06-9,15.5,27.8,0,,,NNW,20,11:41,19.2,71,,WSW,7,1017.9,27.3,45,,NE,7,1014.6
,2016-06-10,17.8,28.0,0,,,WSW,30,03:24,21.7,66,,SW,4,1020.0,25.6,56,,ENE,11,1017.5
,2016-06-11,17.0,25.6,0,,,S,24,10:32,19.8,53,,SSW,7,1023.1,24.6,48,,ENE,11,1019.9
,2016-06-12,13.0,24.0,0,,,ESE,52,13:59,18.0,59,,SSE,11,1026.9,22.2,52,,ESE,31,1024.5
,2016-06-13,17.5,23.4,0.4,,,ESE,63,10:17,19.5,70,,SE,35,1027.8,21.8,63,,ESE,41,1025.2
,2016-06-14,17.5,24.6,0,,,SE,54,08:57,19.9,74,,SE,28,1027.9,22.5,61,,ESE,28,1025.2
,2016-06-15,16.8,23.8,0,,,ESE,52,15:46,20.0,71,,SE,22,1025.7,22.7,58,,ESE,26,1022.6
,2016-06-16,16.4,24.1,0,,,SE,44,11:36,19.8,73,,SE,19,1022.8,22.4,61,,E,24,1019.0
,2016-06-17,17.0,24.7,0.6,,,ESE,31,09:38,20.7,74,,SE,11,1020.4,22.5,68,,E,20,1017.5
,2016-06-18,17.6,25.1,0,,,E,30,14:46,21.0,83,,SE,15,1019.3,22.2,80,,E,20,1015.4
,2016-06-19,19.1,23.7,0,,,WSW,63,14:08,22.0,98,,ENE,19,1013.0,16.4,98,,WSW,20,1010.3
,2016-06-20,14.4,23.4,34.2,,,WSW,35,12:00,17.4,84,,W,7,1014.0,22.9,36,,W,11,1010.5
,2016-06-21,12.3,22.5,0,,,WSW,26,02:53,15.9,67,,WSW,9,1016.7,20.7,57,,NE,11,1012.8
,2016-06-22,13.0,24.9,0,,,NE,30,16:15,16.6,75,,W,6,1015.7,23.5,57,,NE,9,1012.1
,2016-06-23,14.2,23.8,0,,,NE,22,16:12,18.3,75,,SSW,4,1016.3,22.8,64,,NE,11,1012.8
,2016-06-24,18.2,26.5,0,,,W,31,13:51,20.0,83,, ,Calm,1014.9,24.6,50,,WSW,11,1012.0
,2016-06-25,12.5,21.2,0,,,SW,44,03:38,13.8,46,,SSW,15,1019.9,20.4,35,,NE,9,1016.5
,2016-06-26,8.0,20.9,0,,,S,20,01:35,12.9,55,,SSW,4,1020.4,19.8,54,,ENE,9,1016.7
,2016-06-27,12.9,20.7,0,,,SSW,31,23:27,18.6,79,, ,Calm,1016.7,19.2,90,,WSW,7,1014.8
,2016-06-28,7.6,19.1,6.4,,,SW,41,09:58,10.2,64,,SW,15,1023.1,18.6,37,,SW,11,1020.6
,2016-06-29,8.7,21.5,0,,,SW,31,04:11,12.8,68,,WSW,2,1026.1,21.0,48,,ENE,13,1022.4
,2016-06-30,12.8,,0,,,,,,17.8,71,,SE,13,1023.2,22.3,58,,ENE,13,1019.8
