"Daily Weather Observations for Lajamanu, Northern Territory for May 2015"
"Prepared at 13:11 GMT on Monday 13 June 2016   IDCJDW8027.201505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-05-1,11.1,29.0,0,,,ESE,37,08:50,18.3,26,,E,24,1017.8,28.3,13,,ESE,13,1013.6
,2015-05-2,6.6,30.3,0,,,E,33,09:28,19.6,21,,E,19,1017.2,29.9,10,,E,11,1012.6
,2015-05-3,8.0,31.6,0,,,E,31,15:09,21.2,23,,ESE,13,1017.0,31.1,12,,ESE,13,1012.7
,2015-05-4,10.5,33.5,0,,,E,30,11:04,21.8,32,,SE,7,1014.7,32.8,12,,E,11,1011.1
,2015-05-5,13.2,35.7,0,,,ESE,37,13:14,23.6,32,,SSE,4,1013.6,35.1,11,,SE,15,1009.6
,2015-05-6,16.5,32.6,0,,,E,46,09:59,23.0,30,,E,26,1016.2,31.3,17,,E,19,1013.1
,2015-05-7,16.1,30.4,0,,,ESE,44,10:17,20.3,31,,ESE,26,1020.1,30.1,17,,SE,22,1015.6
,2015-05-8,12.8,28.1,0,,,ESE,50,09:32,18.7,27,,ESE,26,1019.9,27.4,14,,SE,19,1015.1
,2015-05-9,10.5,29.0,0,,,ESE,39,09:23,18.9,30,,ESE,24,1018.7,28.1,13,,ESE,19,1014.5
,2015-05-10,10.0,29.1,0,,,ESE,43,09:33,19.0,26,,E,20,1018.8,28.2,13,,SE,20,1015.5
,2015-05-11,10.2,29.8,0,,,ESE,43,10:33,19.3,26,,ESE,22,1019.8,28.9,13,,E,15,1016.2
,2015-05-12,8.6,31.2,0,,,E,31,10:52,20.4,28,,E,17,1018.7,30.7,13,,ESE,13,1015.0
,2015-05-13,12.3,29.1,0,,,ESE,52,09:57,19.7,40,,ESE,28,1020.7,28.2,23,,ESE,30,1017.6
,2015-05-14,13.7,23.3,0,,,,,,15.9,31,,ESE,35,1024.1,22.6,13,,ESE,31,1020.7
,2015-05-15,7.6,22.7,,,,ESE,56,10:49,13.6,23,,ESE,28,1024.3,21.7,13,,SE,24,1019.4
,2015-05-16,6.8,25.1,0,,,ESE,48,09:38,14.0,28,,ESE,24,1021.0,23.8,13,,E,17,1016.2
,2015-05-17,6.9,29.2,0,,,E,35,10:49,16.5,34,,ESE,19,1018.6,28.3,17,,NE,13,1014.1
,2015-05-18,9.0,31.9,0,,,E,30,11:50,18.7,40,,S,7,1017.5,31.8,21,,NNE,9,1014.1
,2015-05-19,12.9,33.1,0,,,ENE,24,11:34,21.0,43,, ,Calm,1016.2,32.7,20,,WSW,7,1012.8
,2015-05-20,15.0,34.1,0,,,NE,26,11:55,23.2,41,, ,Calm,1016.1,33.6,19,,NNW,7,1013.1
,2015-05-21,16.3,32.0,0,,,ESE,44,09:35,22.5,34,,ESE,28,1018.9,31.4,23,,E,15,1015.8
,2015-05-22,15.9,27.3,0,,,ESE,46,09:23,19.1,39,,ESE,26,1022.1,26.9,24,,ESE,22,1017.8
,2015-05-23,12.1,26.5,0,,,ESE,41,09:39,16.5,28,,E,22,1021.7,25.9,14,,ESE,17,1016.9
,2015-05-24,11.6,27.5,0,,,E,31,09:54,17.6,31,,E,19,1019.8,26.1,15,,SE,17,1016.1
,2015-05-25,8.3,29.9,0,,,E,31,10:21,19.7,31,,ESE,15,1020.2,28.9,14,,E,9,1016.2
,2015-05-26,9.9,32.7,0,,,ESE,30,09:45,20.7,35,,ESE,13,1019.7,31.1,19,,NNE,11,1015.4
,2015-05-27,11.6,32.9,0,,,ENE,35,13:05,22.0,40,,ESE,13,1017.2,32.1,19,,E,13,1012.8
,2015-05-28,12.6,33.1,0,,,ENE,31,11:21,22.3,44,,SE,7,1016.5,32.5,22,,NNE,13,1013.2
,2015-05-29,14.0,33.5,0,,,E,30,11:18,23.3,43,,ESE,9,1016.7,33.2,21,,NE,17,1013.3
,2015-05-30,14.2,33.8,0,,,ENE,28,13:15,22.9,43,,SE,7,1015.9,32.9,21,,ENE,11,1012.1
,2015-05-31,17.8,31.7,0,,,E,30,15:03,20.9,60,,WSW,6,1014.2,31.2,34,,ENE,15,1012.1
