"Daily Weather Observations for Lajamanu, Northern Territory for June 2015"
"Prepared at 13:12 GMT on Sunday 12 June 2016   IDCJDW8027.201506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-06-1,16.4,30.6,0,,,E,41,09:33,21.1,62,,E,20,1017.3,29.7,31,,E,20,1014.2
,2015-06-2,15.1,29.6,0,,,E,39,09:16,19.8,49,,ESE,26,1020.5,28.7,28,,E,22,1016.0
,2015-06-3,12.7,30.8,0,,,ESE,31,09:47,20.6,32,,ESE,19,1019.1,30.2,18,,ESE,15,1016.4
,2015-06-4,10.2,31.2,0,,,ESE,61,14:17,20.5,34,,E,13,1019.9,30.7,17,,ESE,24,1016.6
,2015-06-5,11.3,27.7,0,,,E,48,12:00,20.0,29,,ESE,26,1021.2,27.0,19,,ESE,28,1017.3
,2015-06-6,8.2,28.2,0,,,ESE,50,09:49,18.3,38,,ESE,26,1020.7,27.3,19,,E,22,1016.6
,2015-06-7,9.3,28.7,0,,,E,39,10:11,16.8,34,,SE,17,1020.2,28.1,15,,E,17,1016.3
,2015-06-8,9.5,29.1,0,,,E,37,10:05,17.3,29,,ESE,17,1018.7,27.8,15,,SE,20,1014.7
,2015-06-9,7.8,28.2,0,,,ESE,43,13:24,17.6,36,,SE,17,1019.2,27.7,22,,ESE,24,1015.0
,2015-06-10,17.6,28.2,0,,,ESE,43,09:59,19.4,34,,SE,22,1018.9,27.1,27,,ENE,24,1015.8
,2015-06-11,14.1,28.6,0,,,SE,43,09:43,19.1,39,,SE,22,1019.5,27.8,25,,ESE,17,1015.8
,2015-06-12,12.7,28.9,0,,,ESE,35,14:44,18.7,47,,SE,17,1018.2,28.3,25,,ESE,15,1013.7
,2015-06-13,13.5,29.2,0,,,WNW,30,22:04,20.7,63,,ESE,13,1017.0,27.0,47,,SSW,9,1012.7
,2015-06-14,15.3,29.5,3.2,,,ESE,26,08:59,19.4,74,,SE,17,1016.4,28.3,36,,ESE,11,1012.5
,2015-06-15,14.0,30.8,0,,,NE,31,12:07,20.7,70,,E,7,1016.6,29.8,30,,S,6,1012.9
,2015-06-16,13.2,31.9,0,,,ENE,30,10:46,21.2,62,,E,11,1016.1,29.3,29,,S,13,1012.9
,2015-06-17,12.6,30.4,0,,,ESE,37,09:58,20.8,47,,ESE,20,1016.4,29.8,29,,ENE,17,1013.0
,2015-06-18,13.7,29.1,0,,,ENE,37,10:01,19.3,50,,E,17,1017.7,28.7,24,,ENE,17,1014.7
,2015-06-19,10.6,26.2,0,,,E,41,09:41,17.2,46,,ESE,20,1020.6,25.6,25,,ESE,22,1016.6
,2015-06-20,12.1,25.9,0,,,ESE,43,09:43,15.6,41,,ESE,24,1020.6,24.8,17,,ESE,22,1016.8
,2015-06-21,7.8,25.8,0,,,E,39,09:31,15.4,42,,E,24,1020.1,24.9,15,,SE,20,1016.5
,2015-06-22,4.5,27.4,0,,,ENE,30,09:50,15.1,31,,ESE,13,1019.3,26.3,11,,SE,9,1015.4
,2015-06-23,5.6,29.5,0,,,E,28,12:19,16.2,32,,SE,7,1018.5,29.0,13,,ENE,9,1015.5
,2015-06-24,9.7,28.6,0,,,ESE,43,12:26,16.8,35,,SSE,15,1020.9,28.5,15,,ESE,24,1018.0
,2015-06-25,11.3,23.5,0,,,SE,46,10:20,14.3,53,,ESE,28,1025.3,22.8,24,,SE,20,1021.0
,2015-06-26,7.4,21.4,0,,,ESE,43,09:14,13.1,49,,ESE,22,1024.8,20.6,29,,SE,15,1019.7
,2015-06-27,7.6,24.6,0,,,E,39,11:19,13.1,53,,SE,15,1023.7,23.2,23,,E,13,1019.6
,2015-06-28,6.6,26.5,0,,,E,35,09:49,15.0,51,,ESE,19,1023.0,26.0,20,,NNE,11,1018.8
,2015-06-29,7.2,28.4,0,,,NE,33,12:27,15.1,51,,S,9,1021.8,27.8,20,,NE,11,1017.3
,2015-06-30,8.7,28.9,0,,,E,43,11:50,17.0,47,,SE,9,1021.5,28.1,21,,E,17,1017.8
