"Daily Weather Observations for Lajamanu, Northern Territory for July 2015"
"Prepared at 13:11 GMT on Saturday 11 June 2016   IDCJDW8027.201507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-07-1,16.4,28.8,0,,,ESE,43,10:07,18.9,53,,ESE,20,1023.4,27.7,32,,ESE,20,1019.0
,2015-07-2,15.4,27.7,0,,,ESE,43,10:08,18.5,48,,ESE,22,1023.3,27.5,27,,ESE,19,1018.8
,2015-07-3,12.8,25.7,0,,,ESE,35,09:10,16.9,39,,ESE,19,1022.0,25.1,24,,SE,15,1017.1
,2015-07-4,5.7,24.8,0,,,ESE,30,11:50,14.3,38,,ESE,13,1019.7,24.1,17,,SE,13,1015.3
,2015-07-5,4.6,26.4,0,,,E,33,10:39,14.6,34,,ESE,20,1019.2,25.6,19,,E,15,1015.7
,2015-07-6,7.0,28.0,0,,,E,37,12:02,15.8,39,,SE,11,1018.6,27.2,20,,ESE,17,1014.4
,2015-07-7,13.1,28.2,0,,,ESE,35,12:11,19.5,31,,E,17,1017.6,28.0,16,,ESE,17,1014.1
,2015-07-8,9.3,27.3,0,,,ENE,39,10:43,16.9,30,,E,15,1018.3,26.6,14,,ENE,17,1014.8
,2015-07-9,10.9,28.8,0,,,NE,30,09:50,17.4,29,,NNE,19,1018.6,28.2,15,,E,15,1015.1
,2015-07-10,13.6,30.5,0,,,ENE,31,14:17,19.4,29,,E,7,1018.7,29.8,14,,ENE,17,1015.9
,2015-07-11,12.8,30.6,0,,,SE,31,11:48,18.3,40,,SSE,15,1020.8,29.9,15,,SSE,15,1017.9
,2015-07-12,12.9,25.3,0,,,ESE,43,09:44,16.6,32,,SE,22,1023.0,24.4,17,,ESE,22,1020.1
,2015-07-13,7.8,22.2,0,,,E,48,10:20,12.3,39,,ESE,24,1025.2,21.4,19,,E,22,1020.5
,2015-07-14,6.0,23.1,0,,,ESE,41,10:05,12.6,45,,ESE,19,1022.2,22.7,20,,ESE,24,1017.9
,2015-07-15,4.1,23.3,0,,,ESE,39,13:01,14.3,45,,ESE,17,1021.1,22.2,22,,SE,26,1018.1
,2015-07-16,7.6,22.7,0,,,E,46,11:33,13.9,46,,ESE,22,1022.1,22.0,25,,ESE,22,1018.7
,2015-07-17,7.5,21.6,0,,,ESE,48,09:17,12.8,35,,ESE,28,1023.1,20.9,18,,SE,20,1019.7
,2015-07-18,6.8,22.1,0,,,SE,44,08:47,11.9,30,,ESE,28,1023.5,21.1,15,,ESE,20,1019.1
,2015-07-19,7.4,22.8,0,,,ESE,43,10:13,12.1,33,,ESE,24,1022.8,22.3,17,,E,19,1018.6
,2015-07-20,4.8,24.4,0,,,,,,12.1,30,,ESE,26,1021.8,24.1,13,,E,19,1018.1
,2015-07-21,3.5,27.7,,,,ENE,33,09:50,11.8,35,, ,Calm,1020.9,26.2,12,,ESE,9,1016.5
,2015-07-22,7.6,30.1,0,,,NE,20,10:08,14.6,33,, ,Calm,1019.8,29.6,11,,S,13,1016.7
,2015-07-23,10.4,32.0,0,,,NNE,24,11:42,17.3,30,, ,Calm,1018.9,31.4,9,,E,9,1015.3
,2015-07-24,12.5,34.0,0,,,NNE,26,11:34,18.4,30,, ,Calm,1017.9,32.9,10,,ESE,6,1014.3
,2015-07-25,13.9,33.9,0,,,ESE,33,08:46,19.9,37,,ESE,19,1018.9,33.3,18,,NNE,11,1014.8
,2015-07-26,14.3,33.1,0,,,E,39,10:11,22.1,44,,ESE,19,1020.6,31.7,26,,E,13,1016.8
,2015-07-27,18.0,28.5,0,,,ESE,48,08:44,19.9,39,,ESE,30,1024.2,27.8,25,,ESE,24,1020.6
,2015-07-28,13.7,25.8,0,,,SE,43,09:02,16.3,33,,ESE,28,1025.7,24.9,19,,ESE,26,1021.1
,2015-07-29,9.4,27.9,0,,,ESE,41,09:42,15.2,23,,SE,20,1024.6,26.3,14,,ESE,17,1019.5
,2015-07-30,8.2,29.3,0,,,E,31,09:44,17.5,26,,ESE,11,1022.2,28.4,13,,ESE,11,1018.9
,2015-07-31,6.5,29.7,0,,,E,28,10:03,16.3,27,,SE,7,1019.6,29.1,13,,ESE,13,1015.6
