"Daily Weather Observations for Lajamanu, Northern Territory for August 2015"
"Prepared at 13:11 GMT on Friday 10 June 2016   IDCJDW8027.201508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-08-1,9.9,31.3,0,,,E,28,13:15,18.1,25,,S,2,1018.5,30.5,14,,N,9,1014.6
,2015-08-2,9.8,33.0,0,,,ESE,30,13:24,18.6,36,, ,Calm,1018.0,32.7,14,,NE,11,1015.2
,2015-08-3,11.7,28.3,0,,,,,,19.7,41,,ESE,30,1020.5,27.6,22,,ESE,22,1018.0
,2015-08-4,12.2,25.0,,,,ESE,50,10:01,15.8,28,,ESE,28,1023.3,24.2,17,,ESE,20,1018.8
,2015-08-5,8.6,24.1,0,,,E,50,10:14,15.0,30,,ESE,24,1021.9,23.6,13,,SE,24,1017.6
,2015-08-6,8.4,24.8,0,,,ESE,44,09:54,14.0,30,,ESE,24,1021.5,24.2,15,,ESE,17,1016.9
,2015-08-7,4.4,26.7,0,,,ESE,37,10:09,14.6,29,,ESE,19,1021.0,26.2,13,,E,15,1017.1
,2015-08-8,4.4,28.0,0,,,E,35,11:55,16.7,27,,E,15,1020.4,27.1,12,,NE,13,1014.7
,2015-08-9,7.0,30.2,0,,,ENE,31,10:09,18.8,22,,E,13,1018.5,29.7,10,,E,13,1014.1
,2015-08-10,8.4,32.2,0,,,NE,33,12:08,17.8,28,,SSE,7,1018.3,31.4,11,,ENE,9,1014.4
,2015-08-11,11.0,33.7,0,,,ENE,46,13:11,19.4,30,,SSW,2,1017.6,32.3,12,,SW,13,1014.6
,2015-08-12,15.4,31.4,0,,,SE,50,09:28,20.1,18,,SSE,19,1018.7,31.0,10,,ESE,19,1015.4
,2015-08-13,11.0,27.8,0,,,E,44,09:28,17.0,28,,ESE,24,1021.6,27.4,13,,E,19,1017.8
,2015-08-14,9.6,27.8,0,,,E,43,09:52,17.0,24,,ESE,22,1022.4,26.5,12,,E,19,1018.7
,2015-08-15,9.2,28.2,0,,,ESE,48,11:15,17.5,24,,ESE,28,1023.8,26.8,11,,ESE,22,1019.7
,2015-08-16,9.2,28.3,0,,,ESE,46,09:20,18.0,23,,ESE,24,1022.9,27.9,9,,ESE,20,1018.9
,2015-08-17,6.9,29.0,0,,,SSE,48,13:56,18.6,20,,ESE,19,1021.3,27.6,11,,SE,24,1017.4
,2015-08-18,5.4,28.2,0,,,SE,41,14:33,17.5,24,,ESE,17,1020.3,27.2,12,,SE,20,1016.7
,2015-08-19,7.0,29.7,0,,,ENE,35,10:02,19.1,22,,ENE,20,1019.5,28.4,10,,E,17,1015.6
,2015-08-20,7.4,32.1,0,,,NE,37,10:42,19.9,20,,SE,7,1018.0,31.7,9,,E,11,1013.0
,2015-08-21,11.0,33.5,0,,,N,35,10:38,23.8,34,,N,20,1016.1,32.4,14,,NNE,11,1012.1
,2015-08-22,12.6,34.4,0,,,N,28,12:31,23.6,31,,NW,11,1016.0,33.2,15,,NNW,11,1012.4
,2015-08-23,16.9,34.9,0,,,WSW,26,03:51,24.2,34,,WSW,7,1016.0,34.0,15,,ENE,9,1012.7
,2015-08-24,18.4,34.8,0,,,ESE,43,10:24,24.0,22,,SE,20,1017.7,33.4,14,,ENE,11,1013.0
,2015-08-25,20.5,35.0,0,,,N,46,19:12,24.6,27,,E,26,1016.2,33.9,25,,NNE,20,1011.8
,2015-08-26,19.8,33.5,5.0,,,E,31,08:39,21.8,59,,E,19,1017.0,33.2,27,,ENE,9,1012.5
,2015-08-27,18.3,31.1,0.2,,,E,30,13:02,21.8,80,,ESE,13,1017.9,30.8,39,,ENE,15,1014.1
,2015-08-28,18.0,27.3,3.2,,,E,44,09:38,20.0,78,,E,19,1019.3,26.4,51,,ENE,20,1015.3
,2015-08-29,15.5,27.9,6.2,,,E,35,00:36,18.4,84,,E,11,1020.1,26.8,48,,NE,15,1016.2
,2015-08-30,16.6,31.0,0,,,ENE,37,10:02,21.4,57,,E,17,1018.9,29.9,27,,ENE,13,1014.9
,2015-08-31,18.4,33.9,0,,,ENE,35,11:33,23.1,30,,NE,17,1016.7,32.4,14,,NNE,15,1012.6
