"Daily Weather Observations for Lajamanu, Northern Territory for September 2015"
"Prepared at 13:11 GMT on Thursday  9 June 2016   IDCJDW8027.201509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-09-1,18.3,34.9,0,,,WNW,33,15:14,27.9,19,,NNW,15,1014.0,34.0,21,,WNW,15,1009.2
,2015-09-2,17.0,33.6,0,,,NNW,41,00:09,24.7,24,,S,17,1015.4,32.1,13,,S,9,1012.5
,2015-09-3,13.7,33.4,0,,,E,43,09:35,23.4,18,,E,22,1018.6,32.9,12,,E,15,1014.7
,2015-09-4,13.6,33.8,0,,,E,39,09:29,23.0,23,,ENE,20,1019.1,32.4,12,,ENE,13,1015.4
,2015-09-5,16.1,33.7,0,,,ENE,33,08:54,23.3,25,,ENE,24,1019.1,32.5,12,,SSE,13,1014.2
,2015-09-6,18.6,34.7,0,,,ENE,31,09:46,24.3,23,,ENE,19,1017.3,33.7,11,,NE,15,1013.2
,2015-09-7,21.2,35.4,0,,,NE,39,08:14,25.5,18,,NE,26,1016.3,34.1,10,,E,20,1013.6
,2015-09-8,15.8,32.7,0,,,,,,23.8,19,,E,30,1019.5,31.8,10,,ENE,20,1015.7
,2015-09-9,16.1,31.7,,,,ESE,44,08:55,22.3,16,,ESE,33,1022.2,30.9,11,,SE,30,1018.3
,2015-09-10,13.7,29.9,0,,,ESE,50,08:52,21.8,18,,ESE,35,1023.9,29.6,10,,ESE,20,1019.0
,2015-09-11,8.9,32.0,0,,,E,41,09:30,22.7,18,,ESE,22,1021.7,31.0,9,,SE,17,1016.5
,2015-09-12,9.7,33.6,0,,,ENE,37,11:24,23.0,15,,ENE,17,1019.4,32.5,12,,NE,13,1014.9
,2015-09-13,12.2,34.1,0,,,NE,33,12:08,25.1,18,,ENE,13,1017.7,33.4,10,,SE,15,1012.8
,2015-09-14,13.9,35.8,0,,,N,33,13:13,27.8,19,,NE,20,1015.4,34.3,10,,NNE,13,1011.4
,2015-09-15,16.3,36.7,,,,,,,28.4,21,,NNE,15,1013.4,35.4,11,,ESE,15,1009.8
,2015-09-16,16.6,37.6,0,,,NNE,35,09:23,29.1,26,,N,20,1014.3,37.2,12,,ENE,13,1010.7
,2015-09-17,21.3,36.8,0,,,ENE,39,12:48,29.9,25,,NNE,13,1015.8,36.6,16,,ENE,17,1013.0
,2015-09-18,17.3,34.4,0,,,E,41,09:31,24.6,20,,E,17,1019.6,34.2,12,,NNE,15,1014.1
,2015-09-19,17.4,34.8,0,,,ENE,46,09:20,25.4,14,,ENE,24,1018.3,33.1,10,,ENE,17,1012.5
,2015-09-20,17.9,34.6,0,,,ENE,35,09:11,24.2,15,,ENE,22,1016.2,33.6,9,,NNE,7,1012.3
,2015-09-21,12.2,35.2,0,,,SSE,46,15:54,25.0,13,,ENE,19,1017.3,34.7,7,,E,15,1013.3
,2015-09-22,15.5,33.6,0,,,ESE,46,15:16,23.9,19,,ESE,28,1019.2,32.7,9,,SE,26,1014.5
,2015-09-23,15.0,32.3,0,,,ESE,48,09:02,22.9,19,,ESE,33,1019.8,31.9,11,,ESE,19,1013.9
,2015-09-24,13.9,31.4,0,,,ESE,52,08:58,21.7,12,,ESE,35,1019.2,30.5,9,,SE,20,1013.9
,2015-09-25,14.1,31.2,0,,,ESE,43,09:10,21.9,10,,ESE,28,1019.5,30.0,7,,SSE,19,1013.8
,2015-09-26,11.0,31.7,0,,,E,39,09:08,23.1,10,,E,20,1018.3,30.9,6,,SE,24,1013.6
,2015-09-27,8.4,31.9,0,,,E,41,11:04,23.3,10,,E,22,1017.0,31.1,5,,ENE,13,1012.9
,2015-09-28,9.9,33.2,0,,,E,37,11:20,25.6,9,,ESE,13,1016.1,31.8,5,,NNE,11,1011.9
,2015-09-29,9.8,34.9,0,,,ENE,41,09:11,26.4,9,,E,20,1016.6,33.5,5,,SSE,11,1013.0
,2015-09-30,12.7,36.2,0,,,ESE,52,11:39,27.3,10,,E,22,1019.1,34.7,5,,ESE,17,1015.6
