"Daily Weather Observations for Lajamanu, Northern Territory for October 2015"
"Prepared at 13:11 GMT on Wednesday  8 June 2016   IDCJDW8027.201510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-10-1,13.6,36.5,,,,,,,28.4,9,,E,26,1022.5,35.4,4,,E,39,1017.3
,2015-10-2,16.6,36.5,0,,,SE,59,15:42,28.5,19,,ENE,11,1022.5,35.8,5,,E,30,1017.3
,2015-10-3,13.4,36.7,0,,,ESE,48,14:35,27.4,15,,ESE,9,1021.9,36.0,5,,ESE,17,1016.0
,2015-10-4,16.8,35.2,0,,,NE,37,11:56,27.8,23,,NNE,20,1019.1,33.2,14,,E,11,1014.1
,2015-10-5,16.9,36.0,0,,,NNE,28,09:29,26.8,23,,E,15,1016.7,35.0,10,,ESE,9,1010.9
,2015-10-6,20.6,35.5,0,,,NNW,30,13:12,26.7,38,,SE,2,1014.9,33.8,17,,ESE,7,1010.5
,2015-10-7,23.4,36.7,0,,,ENE,43,18:00,29.1,28,,ENE,15,1015.5,34.7,20,,NE,9,1012.0
,2015-10-8,22.4,36.8,0,,,ESE,39,13:40,27.9,35,,E,11,1017.9,34.2,19,,ESE,17,1012.3
,2015-10-9,22.3,37.6,0,,,E,39,12:43,30.2,29,,NNE,20,1017.9,36.4,18,,NE,17,1012.9
,2015-10-10,19.8,37.9,0,,,ENE,37,13:35,30.2,25,,NNE,22,1017.7,36.7,11,,SE,17,1013.2
,2015-10-11,22.1,37.8,0,,,E,44,14:05,30.0,23,,NNE,17,1016.6,36.9,11,,E,19,1012.1
,2015-10-12,20.9,39.0,0,,,E,57,15:17,30.8,24,,NNE,22,1016.8,37.9,10,,ENE,22,1011.8
,2015-10-13,18.4,39.9,0,,,NE,50,12:52,30.8,24,,NNE,19,1014.9,39.5,10,,NE,19,1011.3
,2015-10-14,20.8,40.6,0,,,E,59,14:55,32.0,18,,N,20,1014.5,39.1,9,,E,26,1010.5
,2015-10-15,17.4,41.1,0,,,SSE,43,14:53,31.3,16,,NNE,11,1012.9,39.7,8,,SSE,22,1008.3
,2015-10-16,20.5,39.9,0,,,N,46,09:54,31.3,31,,N,24,1012.2,38.1,14,,NE,15,1008.3
,2015-10-17,21.5,39.5,0,,,E,63,14:14,31.0,31,,N,20,1013.8,37.5,14,,NE,11,1010.5
,2015-10-18,22.8,38.6,0,,,ENE,57,13:21,31.0,25,,NNE,24,1016.4,37.3,13,,ENE,11,1011.9
,2015-10-19,20.7,38.8,0,,,NNE,44,08:29,29.5,27,,NNE,26,1016.0,38.2,12,,E,13,1010.9
,2015-10-20,18.4,39.4,0,,,NNW,46,08:56,30.6,15,,N,28,1014.8,37.9,9,,NNE,19,1009.8
,2015-10-21,20.5,41.5,0,,,N,37,08:24,32.6,17,,N,24,1013.3,40.7,9,,NE,20,1009.0
,2015-10-22,23.3,41.4,0,,,SE,39,08:00,32.8,25,,ESE,11,1013.7,39.8,12,,NE,9,1008.9
,2015-10-23,28.7,41.5,0,,,NNE,43,12:08,33.7,23,,NE,24,1013.7,41.4,13,,ENE,13,1008.4
,2015-10-24,23.7,39.8,0,,,E,33,11:42,31.4,29,,SSW,9,1014.9,37.4,8,,ESE,9,1009.8
,2015-10-25,18.5,41.3,0,,,ENE,46,14:23,32.6,8,,ENE,19,1014.1,40.0,7,,E,9,1009.1
,2015-10-26,19.5,42.1,0,,,NE,41,13:10,32.6,16,,N,17,1012.0,40.9,11,,NNE,20,1008.4
,2015-10-27,23.5,40.6,0,,,SW,59,21:06,33.7,29,,NNW,22,1013.1,38.7,15,,NE,22,1008.7
,2015-10-28,21.5,33.0,9.8,,,SW,35,00:15,22.9,83,,S,6,1017.5,32.3,35,,SW,13,1012.6
,2015-10-29,22.9,35.5,0,,,NNW,28,08:42,26.5,53,,WSW,13,1015.3,34.1,26,,SSW,11,1010.4
,2015-10-30,22.6,37.7,0,,,SW,31,16:50,29.2,49,,WSW,2,1013.0,35.8,24,,E,9,1008.8
,2015-10-31,24.9,37.8,0,,,SSW,30,03:41,30.1,38,,E,6,1012.5,37.0,23,,SE,11,1008.3
