"Daily Weather Observations for Lajamanu, Northern Territory for November 2015"
"Prepared at 16:13 GMT on Tuesday  7 June 2016   IDCJDW8027.201511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-11-1,25.6,40.9,0,,,ESE,50,17:31,32.3,41,,WNW,17,1010.5,40.2,19,,NNE,13,1005.2
,2015-11-2,26.9,40.7,0,,,NNW,69,16:14,32.5,45,,NW,20,1009.7,38.5,24,,NNW,17,1004.5
,2015-11-3,21.8,28.4,15.0,,,SW,37,02:52,23.1,86,,E,9,1012.1,26.0,70,,NNE,9,1008.0
,2015-11-4,21.6,38.1,0,,,SE,37,01:08,27.9,55,,NNW,13,1010.4,36.4,30,,N,9,1006.5
,2015-11-5,23.3,37.8,0,,,NNW,54,14:51,30.3,53,,WNW,11,1011.2,26.6,65,,NNW,33,1006.8
,2015-11-6,25.0,39.5,1.0,,,N,39,14:48,32.6,38,,S,15,1009.9,37.0,25,,N,24,1005.6
,2015-11-7,27.6,37.2,0,,,ESE,44,19:18,32.8,44,,W,15,1010.2,26.7,61,,NW,19,1008.5
,2015-11-8,23.0,35.9,1.0,,,ESE,33,13:11,26.9,63,,SW,13,1012.9,33.2,32,,E,11,1009.4
,2015-11-9,23.7,35.1,0,,,S,56,10:43,24.5,74,,WSW,22,1013.1,33.5,26,,SSE,17,1008.0
,2015-11-10,22.7,37.8,0,,,SW,50,22:46,26.6,48,,S,28,1010.8,37.2,20,,SE,17,1006.1
,2015-11-11,23.6,40.6,0.2,,,N,41,16:25,31.6,32,,WSW,11,1010.2,38.3,14,,ENE,13,1006.0
,2015-11-12,24.1,41.4,0,,,N,33,09:10,30.9,35,,N,22,1011.8,39.1,12,,N,11,1007.3
,2015-11-13,23.7,43.5,0,,,NNW,43,20:14,35.1,19,,SW,6,1009.5,41.0,11,,SE,9,1005.2
,2015-11-14,24.7,40.7,0,,,SW,44,17:22,32.7,38,,SE,13,1009.9,39.1,19,,WNW,7,1005.1
,2015-11-15,25.6,39.4,0,,,NNE,35,20:14,28.6,48,,S,9,1010.0,38.8,17,,S,9,1006.4
,2015-11-16,22.1,40.5,0,,,ESE,44,09:24,34.0,13,,E,26,1010.4,40.1,9,,NE,15,1006.5
,2015-11-17,19.8,41.3,0,,,ENE,43,10:01,34.0,9,,E,20,1011.8,40.4,5,,SSE,19,1007.6
,2015-11-18,17.5,41.6,0,,,ESE,43,13:39,34.5,8,,ENE,20,1012.1,40.7,5,,ESE,20,1007.8
,2015-11-19,18.3,42.1,0,,,NE,39,13:45,33.6,12,,NNE,17,1011.4,40.2,8,,N,11,1007.2
,2015-11-20,21.7,43.1,0,,,ENE,48,15:03,34.0,17,,NNE,15,1010.3,42.7,10,,ENE,22,1005.4
,2015-11-21,24.7,42.9,0,,,ESE,54,12:52,34.8,23,,NE,19,1010.1,42.0,10,,ENE,24,1006.1
,2015-11-22,24.3,42.7,0,,,E,59,09:13,35.0,13,,E,37,1010.9,42.0,9,,SE,22,1006.2
,2015-11-23,23.5,43.5,0,,,ESE,59,11:33,35.1,11,,ENE,28,1010.5,42.2,7,,SE,30,1005.9
,2015-11-24,24.9,43.3,0,,,NE,41,12:18,35.3,23,,ENE,19,1009.9,40.8,9,,E,26,1004.7
,2015-11-25,28.0,39.9,0,,,NNE,39,11:44,30.7,34,,NNE,17,1009.4,38.8,17,,SE,9,1004.9
,2015-11-26,25.3,42.2,0,,,SW,50,01:11,32.4,29,,SSE,19,1009.7,40.4,15,,S,13,1005.3
,2015-11-27,28.0,42.1,0,,,ENE,57,14:25,31.5,43,,WNW,11,1009.4,31.4,42,,ENE,31,1007.8
,2015-11-28,26.5,42.2,0.6,,,ENE,35,02:04,33.0,37,,N,9,1010.1,39.8,21,,E,13,1006.9
,2015-11-29,28.7,43.5,0,,,SSW,52,01:15,36.5,20,,SSW,7,1009.5,42.0,13,,ESE,9,1004.3
,2015-11-30,29.5,41.4,0,,,WSW,50,22:18,32.7,35,,W,17,1008.4,39.1,21,,ENE,11,1003.7
