"Daily Weather Observations for Lajamanu, Northern Territory for December 2015"
"Prepared at 13:11 GMT on Monday 20 June 2016   IDCJDW8027.201512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-12-1,25.3,40.8,0,,,ENE,37,05:20,30.3,44,,NE,11,1009.3,37.8,23,,N,13,1005.2
,2015-12-2,28.2,36.2,0,,,S,43,13:03,33.1,39,,ENE,13,1011.9,30.4,54,,SSE,13,1009.8
,2015-12-3,23.3,39.1,3.6,,,ESE,35,11:59,29.3,53,,ENE,7,1014.0,38.4,21,,SE,19,1009.3
,2015-12-4,26.7,40.7,0,,,ENE,43,19:48,34.6,32,,W,11,1010.7,38.6,18,,NNE,7,1006.5
,2015-12-5,26.4,41.5,0,,,ENE,41,18:19,30.4,46,,NNW,11,1012.1,40.2,20,,NNE,19,1006.7
,2015-12-6,26.7,41.2,0,,,SSW,52,17:44,32.4,40,,SSE,7,1011.4,38.4,24,,NNW,17,1006.6
,2015-12-7,26.3,38.6,0,,,N,48,17:38,29.5,56,,E,17,1012.7,36.7,32,,SSE,13,1008.3
,2015-12-8,23.0,35.7,17.6,,,SSE,41,11:35,28.7,65,,NNW,13,1012.3,33.1,46,,ESE,7,1009.6
,2015-12-9,25.6,40.3,0,,,N,35,20:38,30.8,58,,WNW,11,1012.9,38.2,30,,N,13,1008.2
,2015-12-10,26.2,37.5,0,,,WSW,35,15:27,31.8,49,,NNW,9,1011.4,35.4,34,,NW,15,1008.6
,2015-12-11,25.9,41.8,0,,,SW,43,18:48,32.1,40,,ENE,13,1009.8,41.3,20,,SW,17,1004.9
,2015-12-12,26.5,38.9,0,,,ESE,43,16:18,30.2,55,,WNW,19,1008.6,38.0,25,,NE,9,1004.4
,2015-12-13,26.4,39.3,0.2,,,NE,39,10:43,31.1,52,,N,9,1009.0,36.4,28,,NE,13,1005.4
,2015-12-14,26.7,41.7,0,,,NE,39,12:44,32.5,46,,W,9,1008.4,39.1,18,,ENE,13,1003.8
,2015-12-15,27.2,39.9,0,,,N,43,14:25,31.5,53,,SW,20,1007.7,26.6,64,,NNE,20,1005.6
,2015-12-16,26.0,37.1,0,,,N,41,14:45,29.4,60,,E,13,1006.7,26.4,78,,NNE,26,1003.9
,2015-12-17,23.8,35.8,2.2,,,WSW,39,14:30,29.7,59,,SE,13,1006.0,25.9,81,,W,15,1002.7
,2015-12-18,24.1,36.6,1.2,,,S,35,15:26,28.9,60,,E,13,1006.2,34.2,35,,SE,2,1001.7
,2015-12-19,25.3,37.4,1.0,,,WSW,46,17:13,29.5,62,,NNE,13,1004.5,35.1,39,,NNW,28,1000.5
,2015-12-20,26.0,39.5,5.2,,,SSE,48,23:06,28.8,67,,SSW,2,1004.8,38.0,34,,SSW,11,999.7
,2015-12-21,21.9,35.2,29.0,,,SSW,35,10:59,25.3,82,,WSW,9,1006.7,34.2,45,,ESE,20,1003.4
,2015-12-22,24.1,33.7,14.0,,,ESE,37,14:48,25.4,88,,SSE,11,1007.2,33.0,47,,ESE,22,1004.1
,2015-12-23,23.5,38.2,0.2,,,ENE,61,19:29,29.1,66,,SE,22,1006.0,36.0,33,,SE,24,1001.3
,2015-12-24,25.3,39.0,3.2,,,ESE,35,16:26,30.3,59,,S,11,1003.6,37.2,33,,ESE,15,999.5
,2015-12-25,27.8,39.8,0,,,S,48,21:38,31.3,55,,SSE,13,1001.8,38.2,29,,S,28,997.7
,2015-12-26,25.3,36.5,0,,,NE,46,19:19,28.9,60,,S,17,1002.5,35.9,37,,S,20,998.9
,2015-12-27,25.2,36.9,0,,,ESE,50,10:16,29.9,44,,SSE,20,1006.1,35.4,25,,S,24,1003.0
,2015-12-28,26.1,35.0,0,,,SSE,41,08:46,30.1,24,,SSE,26,1007.2,34.1,24,,SE,17,1005.1
,2015-12-29,23.8,38.2,0,,,SSW,46,15:25,30.7,45,,SSE,9,1007.0,36.2,24,,S,19,1002.7
,2015-12-30,19.4,38.3,0,,,WSW,48,16:14,29.3,28,,SSW,2,1005.4,37.7,13,,SW,20,1001.4
,2015-12-31,19.8,41.0,0,,,SW,43,14:44,30.4,40,,ENE,7,1005.6,40.0,13,,WSW,20,1002.0
