"Daily Weather Observations for Lajamanu, Northern Territory for January 2016"
"Prepared at 13:11 GMT on Sunday 19 June 2016   IDCJDW8027.201601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,24.1,41.0,0,,,SSW,39,15:36,32.4,27,,E,13,1008.2,40.3,12,,SW,20,1004.4
,2016-01-2,23.5,40.8,0,,,SE,48,09:55,31.6,22,,SE,28,1009.5,39.3,10,,SSE,30,1005.0
,2016-01-3,22.2,39.9,0,,,E,35,12:09,30.7,31,,ENE,20,1010.8,39.2,14,,S,13,1007.0
,2016-01-4,23.7,42.5,0,,,N,31,10:28,33.6,32,,NNW,15,1010.1,41.7,15,,WSW,11,1005.9
,2016-01-5,28.2,43.8,0,,,S,39,18:19,33.0,48,,NW,20,1009.3,41.1,14,,NE,15,1004.8
,2016-01-6,26.4,43.6,0,,,ESE,39,16:26,31.9,47,,N,15,1009.4,41.7,17,,ESE,17,1006.3
,2016-01-7,27.4,42.1,0,,,E,44,15:50,32.3,45,,WSW,13,1011.5,39.5,21,,S,9,1007.5
,2016-01-8,,41.0,0,,,,,,35.3,19,,ENE,17,1011.4,40.5,13,,E,13,1008.5
,2016-01-9,26.7,39.9,,,,NW,37,14:05,33.6,42,,W,13,1012.4,38.0,26,,NE,11,1009.2
,2016-01-10,24.5,42.2,0.2,,,ENE,39,15:30,33.7,32,,NE,7,1013.0,40.7,16,,NE,20,1009.4
,2016-01-11,27.1,39.8,0,,,WNW,41,17:21,33.0,38,,WSW,19,1011.9,36.7,26,,S,15,1007.6
,2016-01-12,26.3,38.3,0,,,S,56,14:41,32.1,43,,NW,13,1011.1,29.6,56,,S,28,1008.7
,2016-01-13,25.2,39.9,13.6,,,ENE,43,14:37,31.3,49,,NNW,11,1012.4,30.6,51,,NNE,22,1008.8
,2016-01-14,26.0,37.6,0,,,ESE,56,18:37,30.3,53,,S,20,1012.5,28.0,69,, ,Calm,1008.2
,2016-01-15,24.1,36.8,23.0,,,ESE,43,10:40,28.6,65,,ESE,26,1012.6,36.7,34,,ESE,15,1007.9
,2016-01-16,24.9,37.2,0.2,,,ESE,33,08:21,29.7,42,,ESE,24,1011.9,35.1,29,,SE,7,1008.2
,2016-01-17,25.8,38.7,0,,,ENE,52,19:25,29.3,61,,SW,11,1010.5,36.7,27,,ESE,11,1006.5
,2016-01-18,22.8,38.0,21.4,,,NNE,57,21:08,30.9,56,,WSW,9,1009.2,37.4,29,,SW,7,1005.2
,2016-01-19,22.2,35.2,54.0,,,N,41,23:27,26.9,64,,NW,2,1011.0,34.9,44,,NNE,9,1006.7
,2016-01-20,23.3,36.0,7.0,,,NNW,46,18:03,27.6,77,,ESE,11,1012.5,34.3,44,,NNE,11,1008.0
,2016-01-21,25.6,36.2,0,,,W,31,14:14,30.2,65,,NNW,15,1011.0,29.7,59,,WSW,19,1007.9
,2016-01-22,25.0,38.5,0,,,N,35,19:06,28.3,70,,W,4,1010.4,37.1,34,,N,9,1006.7
,2016-01-23,27.0,36.8,0.2,,,NE,41,20:33,32.1,60,,SW,11,1010.8,29.9,64,,SW,20,1007.4
,2016-01-24,24.8,38.1,5.8,,,SE,43,17:46,29.1,71,,SW,11,1010.6,36.1,42,,SSW,9,1006.4
,2016-01-25,24.8,33.2,0,,,N,44,11:56,30.5,57,,E,7,1009.2,30.9,55,,WSW,9,1006.6
,2016-01-26,24.8,38.9,0,,,NE,24,16:30,30.4,55,,NW,7,1009.6,38.3,29,,NE,7,1006.1
,2016-01-27,26.6,36.3,0,,,N,41,12:48,30.4,63,,WNW,15,1008.7,32.6,58,,NNW,17,1005.3
,2016-01-28,24.0,37.3,20.4,,,ESE,31,03:07,26.8,74,,ESE,13,1010.0,35.4,47,,NNW,9,1005.2
,2016-01-29,24.2,35.0,0,,,WSW,39,04:15,26.6,66,,WSW,13,1008.4,33.9,43,,SSE,13,1005.1
,2016-01-30,23.5,,1.4,,,,,,24.9,85,,WSW,11,1007.0,34.3,48,,SW,6,1003.0
,2016-01-31,23.2,34.6,,,,NW,39,01:55,25.1,85,,NNW,7,1005.7,32.9,55,,WNW,7,1002.4
