"Daily Weather Observations for Lajamanu, Northern Territory for February 2016"
"Prepared at 13:10 GMT on Saturday 18 June 2016   IDCJDW8027.201602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-02-1,24.9,35.5,3.6,,,SW,35,15:26,29.1,72,,W,15,1005.1,34.8,40,,WSW,17,1001.3
,2016-02-2,26.5,36.3,0,,,SW,35,09:58,28.7,66,,WSW,13,1006.3,34.6,43,,WSW,17,1002.9
,2016-02-3,25.9,37.1,0,,,NNE,31,19:41,30.5,50,,SW,13,1006.0,35.4,30,,S,13,1004.0
,2016-02-4,24.2,32.6,6.4,,,ENE,35,09:52,27.4,77,,ENE,20,1009.7,30.5,60,,SE,13,1006.2
,2016-02-5,24.1,35.3,6.4,,,ESE,28,11:02,28.5,68,,S,17,1008.7,34.4,32,,SE,15,1004.7
,2016-02-6,22.0,36.1,0,,,SE,26,13:11,28.0,60,,SSE,9,1007.4,35.5,24,,S,11,1004.7
,2016-02-7,19.8,38.2,0,,,SE,39,13:59,28.9,40,,SSE,4,1007.8,37.1,18,,SE,15,1005.3
,2016-02-8,23.0,38.5,0,,,ESE,37,12:16,30.8,44,,ESE,13,1009.7,37.5,25,,SE,19,1006.3
,2016-02-9,24.3,39.5,0,,,,,,32.8,37,,E,19,1009.3,38.4,20,,ESE,20,1005.8
,2016-02-10,23.4,39.9,,,,SSE,50,15:35,32.1,37,,ESE,20,1007.6,39.2,18,,SE,22,1004.0
,2016-02-11,22.7,39.9,0,,,ESE,54,17:31,30.2,48,,WSW,7,1007.9,38.5,18,,ESE,26,1004.3
,2016-02-12,23.7,39.7,0,,,E,43,18:10,30.8,48,,SSE,4,1009.7,37.3,22,,E,15,1006.0
,2016-02-13,23.2,41.3,0,,,S,35,16:01,32.0,47,,WSW,9,1009.5,39.7,15,,ESE,13,1005.9
,2016-02-14,23.8,42.4,0,,,WSW,26,11:07,33.3,37,,WNW,9,1008.2,41.1,14,,S,11,1004.8
,2016-02-15,25.1,43.4,0,,,N,30,12:52,33.9,37,,NW,17,1008.8,42.0,13,,NW,7,1004.6
,2016-02-16,25.9,41.7,0,,,WSW,39,09:45,32.4,45,,W,17,1009.3,40.8,19,,SW,13,1006.0
,2016-02-17,27.1,41.0,0.2,,,WSW,43,17:20,31.1,43,,SSE,13,1009.7,40.2,17,,SSW,11,1005.5
,2016-02-18,26.7,40.7,0,,,NW,43,15:31,32.7,43,,NW,11,1007.7,36.4,29,,WNW,24,1003.9
,2016-02-19,25.5,39.4,0,,,NE,54,17:11,29.3,55,,SSW,4,1009.9,36.3,29,,W,9,1006.6
,2016-02-20,24.4,37.9,0,,,W,61,13:10,32.3,47,,NW,11,1011.5,32.6,43,,NE,15,1008.8
,2016-02-21,25.7,39.5,10.8,,,NNE,61,16:20,29.6,61,,SE,9,1012.5,37.9,31,,S,15,1008.6
,2016-02-22,24.4,40.3,15.2,,,S,26,00:03,29.7,64,,SSW,13,1012.5,39.6,23,,SE,15,1008.3
,2016-02-23,25.5,41.3,0,,,S,28,11:46,31.5,51,,WSW,15,1009.5,40.7,18,,SSW,13,1005.1
,2016-02-24,28.4,42.5,0,,,SE,37,17:45,31.8,47,,WSW,17,1007.7,41.0,18,,SSE,6,1003.3
,2016-02-25,26.9,40.8,0,,,ESE,44,14:53,30.4,55,,NNW,9,1009.3,36.3,31,,E,28,1006.1
,2016-02-26,23.5,37.6,11.4,,,ESE,57,01:08,27.1,78,,SE,20,1012.5,35.6,42,,SE,11,1007.3
,2016-02-27,24.7,37.7,5.0,,,E,35,11:02,28.7,73,,SE,9,1012.3,36.9,30,,E,17,1008.6
,2016-02-28,24.3,40.0,0,,,SE,39,15:00,30.3,59,,WSW,9,1011.8,39.5,22,,SE,24,1008.9
,2016-02-29,26.7,41.1,0,,,ESE,31,12:02,32.7,48,,W,9,1011.9,40.2,22,,NE,11,1008.5
