"Daily Weather Observations for Lajamanu, Northern Territory for March 2016"
"Prepared at 13:11 GMT on Friday 17 June 2016   IDCJDW8027.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-03-1,25.7,41.9,0,,,N,24,14:13,32.5,43,,W,9,1010.7,40.5,18,,SE,13,1007.2
,2016-03-2,26.5,42.9,0,,,SSW,57,20:41,32.7,43,,W,15,1011.5,42.0,18,,W,11,1007.2
,2016-03-3,25.8,41.7,0,,,W,50,12:26,31.3,48,,W,15,1010.8,40.7,21,,SSW,11,1006.5
,2016-03-4,28.1,41.4,0,,,NW,48,17:54,32.0,51,,N,24,1009.4,40.1,25,,S,13,1004.4
,2016-03-5,25.4,42.0,0,,,N,31,18:26,30.4,51,,NNW,19,1009.3,40.4,21,,SW,11,1004.6
,2016-03-6,26.6,37.2,0,,,N,43,13:41,29.4,56,,SSE,11,1010.2,35.4,39,,N,17,1006.6
,2016-03-7,25.1,39.5,0,,,NNE,50,14:09,28.0,65,,NNE,7,1009.2,37.2,30,,NNE,13,1005.5
,2016-03-8,25.1,38.8,0,,,SSE,56,18:57,29.8,57,,SSW,15,1009.8,36.8,29,,S,11,1005.0
,2016-03-9,22.9,35.7,7.0,,,WSW,37,19:19,27.0,70,,ESE,9,1010.2,34.8,40,,SSW,9,1006.5
,2016-03-10,25.5,37.0,0,,,NE,48,13:34,29.1,63,,NNE,11,1011.1,36.0,39,,E,11,1006.8
,2016-03-11,25.1,37.2,2.0,,,ENE,39,13:15,28.6,73,,SSE,15,1010.6,36.6,38,,ENE,15,1006.2
,2016-03-12,25.3,38.1,0,,,E,30,15:55,28.7,73,,S,9,1010.1,36.9,31,,E,17,1005.6
,2016-03-13,25.9,38.1,0,,,NE,43,16:33,31.0,55,,SSW,13,1009.6,37.2,31,,S,11,1004.5
,2016-03-14,25.4,37.8,0,,,SE,37,14:45,28.9,66,,SW,15,1009.2,35.7,43,,E,17,1003.4
,2016-03-15,20.7,34.2,51.8,,,SE,81,02:19,24.5,92,,SSW,11,1007.1,33.4,53,,ESE,17,1002.2
,2016-03-16,24.5,36.6,0,,,SE,35,13:21,28.8,69,,S,4,1006.4,35.9,36,,SE,15,1002.6
,2016-03-17,25.7,38.4,0,,,,,,30.2,63,,SE,11,1006.3,37.6,31,,ENE,7,1002.2
,2016-03-18,25.8,37.8,,,,S,31,12:29,30.6,55,,S,6,1007.3,35.1,42,,SSW,17,1003.4
,2016-03-19,26.7,37.2,0.2,,,NNW,37,16:38,31.1,57,,SE,17,1008.8,36.5,36,,E,11,1004.6
,2016-03-20,27.1,36.6,0,,,S,39,10:57,29.9,69,,S,13,1011.1,35.7,33,,ESE,13,1006.8
,2016-03-21,25.0,38.5,0,,,NE,28,10:39,31.7,45,,ESE,13,1010.4,38.0,27,,ESE,11,1005.8
,2016-03-22,24.1,38.3,0,,,ENE,30,10:48,31.1,33,,ENE,17,1010.1,37.6,20,,NE,13,1006.4
,2016-03-23,24.0,38.8,0,,,NNE,26,11:19,28.6,58,,SSW,9,1012.1,37.4,18,,E,7,1008.4
,2016-03-24,21.4,39.1,0,,,SSE,41,16:20,30.8,31,,ESE,11,1013.9,38.3,14,,S,17,1010.1
,2016-03-25,18.6,38.7,0,,,E,37,15:04,29.2,28,,NNE,9,1014.3,37.8,14,,ESE,11,1010.4
,2016-03-26,21.8,39.4,0,,,E,35,14:40,29.3,40,,SSW,7,1013.9,38.7,19,,NNE,11,1010.8
,2016-03-27,20.6,40.2,0,,,ESE,28,11:14,30.6,34,,SE,4,1013.3,40.0,13,,SSE,13,1009.8
,2016-03-28,21.8,40.6,0,,,NNW,28,13:44,31.2,35,,NNW,7,1012.6,39.8,17,,NE,6,1008.7
,2016-03-29,27.3,39.3,0,,,SSE,33,17:14,32.5,38,,NNE,7,1013.4,36.9,27,,SSW,9,1009.5
,2016-03-30,25.6,39.3,0,,,SE,43,10:03,30.3,39,,SE,28,1014.1,38.6,26,,ESE,19,1010.5
,2016-03-31,24.6,37.4,0,,,ENE,37,09:45,30.2,44,,ENE,22,1014.6,35.1,28,,ENE,9,1010.4
