"Daily Weather Observations for Lajamanu, Northern Territory for April 2016"
"Prepared at 16:10 GMT on Thursday 16 June 2016   IDCJDW8027.201604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-04-1,23.6,38.9,0,,,E,46,14:04,29.7,33,,NE,22,1013.4,38.8,14,,ENE,15,1010.2
,2016-04-2,19.5,38.9,0,,,SSE,35,13:43,30.2,26,,NE,9,1015.6,38.3,12,,ESE,17,1011.8
,2016-04-3,18.5,39.5,0,,,SE,39,16:24,29.3,20,,ESE,19,1015.9,38.4,10,,SE,13,1011.9
,2016-04-4,18.9,38.0,0,,,ESE,37,09:12,30.2,13,,ESE,20,1014.0,37.4,9,,SE,15,1010.3
,2016-04-5,18.3,39.6,0,,,ESE,31,09:46,28.5,26,,SSE,6,1012.0,38.9,12,,ENE,11,1008.7
,2016-04-6,21.2,39.9,0,,,ENE,37,15:49,31.4,37,,NW,13,1012.8,39.3,18,,NE,13,1009.1
,2016-04-7,25.3,40.0,0,,,E,33,15:08,32.8,32,,NNW,11,1013.7,38.6,18,,NE,15,1010.0
,2016-04-8,23.2,39.5,0,,,E,37,13:25,32.4,34,,NE,13,1013.7,37.2,19,,E,15,1010.3
,2016-04-9,20.9,39.3,0,,,ESE,52,14:42,29.9,31,,E,15,1015.4,38.5,15,,E,20,1011.0
,2016-04-10,19.5,39.3,0,,,,,,30.2,26,,E,15,1015.7,38.7,14,,ESE,28,1011.9
,2016-04-11,20.7,37.8,,,,E,46,10:13,28.4,25,,E,24,1016.6,36.6,13,,E,24,1012.0
,2016-04-12,17.0,35.1,0,,,ESE,46,10:39,26.1,20,,ESE,24,1016.7,34.7,12,,ESE,20,1012.0
,2016-04-13,15.6,35.5,0,,,E,52,12:48,25.7,22,,ESE,26,1015.6,34.8,14,,SE,20,1011.5
,2016-04-14,17.3,36.4,0,,,E,44,11:24,27.6,22,,E,22,1015.1,35.1,14,,E,17,1011.5
,2016-04-15,17.6,36.8,0,,,ESE,56,12:53,28.0,24,,ESE,17,1015.2,35.8,14,,ESE,19,1011.4
,2016-04-16,18.3,38.0,0,,,SSE,44,13:52,29.8,28,,ESE,22,1013.9,36.6,18,,ESE,24,1010.4
,2016-04-17,21.7,37.4,0,,,E,44,09:54,28.5,25,,ESE,24,1015.1,35.5,15,,ESE,13,1010.6
,2016-04-18,16.0,36.5,0,,,ENE,31,14:31,25.7,29,,SSE,7,1013.8,36.0,12,,NE,7,1009.7
,2016-04-19,16.8,38.0,0,,,N,26,10:59,27.0,27,, ,Calm,1012.9,37.6,11,,S,9,1009.4
,2016-04-20,17.5,38.3,0,,,NNE,31,13:33,30.0,23,,N,13,1013.7,37.1,14,,E,9,1010.5
,2016-04-21,17.6,38.5,0,,,ENE,33,14:15,29.9,25,,N,17,1014.0,37.8,12,,SSE,17,1010.5
,2016-04-22,18.4,38.1,0,,,ESE,52,12:55,28.8,27,,ESE,15,1015.7,37.3,13,,ESE,24,1011.9
,2016-04-23,21.0,36.7,0,,,ESE,52,10:15,28.2,26,,ESE,30,1016.5,36.1,14,,ESE,22,1012.4
,2016-04-24,19.5,34.2,0,,,ESE,46,09:03,26.0,27,,ESE,24,1016.8,33.7,13,,SE,17,1012.8
,2016-04-25,15.9,34.5,0,,,ESE,44,12:12,24.6,22,,ESE,20,1016.5,34.0,12,,ESE,26,1012.9
,2016-04-26,13.8,35.1,0,,,E,41,09:44,26.5,21,,E,19,1014.3,34.4,18,,N,15,1010.4
,2016-04-27,16.8,36.2,0,,,ESE,43,14:27,26.9,25,,E,17,1013.2,34.9,14,,SSW,7,1009.0
,2016-04-28,18.0,35.8,0,,,N,37,14:14,28.1,28,,NE,13,1012.6,34.9,15,,NNW,15,1009.0
,2016-04-29,17.0,37.4,0,,,N,26,10:28,28.5,29,,NNW,9,1013.1,36.1,14,,N,13,1009.1
,2016-04-30,20.5,37.8,0,,,N,31,11:22,28.7,34,,WSW,6,1013.1,37.1,18,,NW,11,1009.0
