"Daily Weather Observations for Lajamanu, Northern Territory for May 2016"
"Prepared at 13:11 GMT on Tuesday 21 June 2016   IDCJDW8027.201605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-05-1,22.8,38.8,0,,,E,31,17:15,30.6,44,,NNW,19,1012.9,38.2,22,,ENE,15,1009.7
,2016-05-2,23.3,38.1,0,,,N,35,16:33,30.8,42,,N,17,1013.3,37.6,25,,N,13,1009.7
,2016-05-3,23.8,36.3,0,,,NNE,43,19:11,27.4,61,,ESE,20,1015.0,34.4,32,,ESE,13,1010.2
,2016-05-4,22.5,32.7,2.8,,,NE,26,14:12,24.0,81,,S,7,1015.3,30.7,45,,ENE,13,1011.7
,2016-05-5,24.0,35.4,0,,,ENE,33,09:19,28.4,52,,ENE,15,1014.6,34.4,29,,NNE,15,1009.8
,2016-05-6,23.2,35.2,0,,,N,31,15:58,26.3,64,,ESE,13,1012.9,33.7,37,,NNE,17,1008.3
,2016-05-7,25.7,31.9,0,,,NW,46,13:21,27.3,61,,N,22,1010.1,27.9,61,,NW,19,1008.4
,2016-05-8,23.2,33.3,0.6,,,NNW,37,14:30,27.0,72,,NNW,20,1010.0,31.4,45,,W,17,1006.8
,2016-05-9,22.2,26.8,0,,,S,37,09:48,22.7,51,,S,19,1014.0,26.2,37,,S,17,1011.7
,2016-05-10,19.3,26.7,0,,,ESE,43,10:50,20.4,42,,SSE,13,1017.1,24.3,34,,SE,22,1015.5
,2016-05-11,17.2,27.2,0,,,ESE,44,10:22,18.5,41,,ESE,24,1021.2,26.1,20,,ESE,22,1015.6
,2016-05-12,13.8,28.2,0,,,E,50,09:21,17.5,43,,ESE,30,1018.2,26.8,24,,ENE,17,1014.1
,2016-05-13,14.8,31.9,0,,,E,39,09:37,20.7,36,,ESE,24,1018.1,30.9,21,,ENE,20,1013.7
,2016-05-14,10.4,32.1,0,,,ESE,31,09:01,21.1,24,,ESE,20,1018.1,31.1,14,,SSE,15,1013.8
,2016-05-15,9.5,33.8,0,,,E,35,12:11,21.0,24,,SE,9,1017.0,33.4,12,,E,15,1012.0
,2016-05-16,11.8,34.4,0,,,ESE,35,11:26,22.4,25,,ESE,17,1015.6,34.1,13,,ENE,15,1011.4
,2016-05-17,13.2,34.0,0,,,ENE,33,10:18,24.0,28,,ESE,9,1015.4,33.0,13,,S,15,1012.0
,2016-05-18,12.7,34.2,0,,,ENE,31,11:11,23.9,24,,SE,11,1015.4,33.4,13,,SSE,13,1012.1
,2016-05-19,15.3,33.1,0,,,ESE,41,09:54,21.6,30,,SE,17,1016.0,32.4,14,,E,19,1011.0
,2016-05-20,14.2,33.2,0,,,,,,22.1,33,,ESE,13,1015.1,31.8,17,,NE,13,1011.3
,2016-05-21,18.2,34.5,0,,,E,31,10:16,24.3,35,,SE,13,1014.7,33.4,16,,ENE,17,1010.9
,2016-05-22,16.9,35.5,0,,,,,,26.4,34,,ENE,7,1015.1,35.0,19,,E,13,1011.7
,2016-05-23,21.0,35.2,0,,,ENE,39,13:14,27.2,44,,NE,7,1015.2,32.6,23,,ESE,17,1011.7
,2016-05-24,19.6,32.9,0,,,ESE,39,09:18,24.7,35,,E,26,1016.2,32.3,27,,ESE,13,1012.5
,2016-05-25,17.2,33.9,0,,,NE,24,08:54,23.9,58,,NE,17,1015.2,32.9,26,,SSW,11,1011.3
,2016-05-26,18.0,35.2,0,,,S,28,15:06,25.7,43,,WNW,2,1015.2,34.2,21,,SSW,9,1011.5
,2016-05-27,21.2,36.5,0,,,SE,31,12:54,27.5,38,,SSE,7,1015.3,35.8,19,,ESE,11,1011.0
,2016-05-28,20.8,33.7,0,,,E,41,09:36,24.5,43,,E,24,1015.7,32.9,25,,E,13,1011.2
,2016-05-29,20.1,34.5,0,,,ESE,31,09:01,24.3,33,,E,22,1016.0,33.2,28,,NE,13,1011.6
,2016-05-30,22.5,34.6,0,,,S,46,23:02,24.4,64,,NE,9,1015.3,33.5,30,,NNE,20,1010.9
,2016-05-31,21.5,24.6,0,,,SE,35,11:17,21.9,60,,SE,20,1018.0,23.5,49,,ESE,19,1014.7
