"Daily Weather Observations for Lajamanu, Northern Territory for June 2016"
"Prepared at 07:01 GMT on Thursday 30 June 2016   IDCJDW8027.201606"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lajamanu Airport {station 014829}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,16.2,32.0,0,,,ESE,30,11:46,18.7,79,,SE,15,1018.5,31.9,30,,E,13,1014.0
,2016-06-2,16.7,33.5,0,,,E,28,09:36,23.8,57,,E,13,1016.4,32.3,29,,WSW,9,1012.0
,2016-06-3,20.0,33.9,0,,,ESE,28,09:14,25.1,56,,SE,17,1015.5,33.2,28,,SSW,17,1012.0
,2016-06-4,19.5,31.1,0,,,ESE,35,14:44,23.1,57,,ESE,20,1016.7,30.5,32,,SSE,11,1012.5
,2016-06-5,13.9,32.5,0,,,ENE,22,09:37,22.4,48,,ENE,11,1015.8,31.1,19,,SW,6,1011.4
,2016-06-6,15.9,36.3,0,,,NW,37,15:54,26.1,24,,N,9,1014.6,34.9,21,,WNW,9,1010.8
,2016-06-7,21.0,36.6,0,,,NW,33,13:09,27.6,40,,WNW,6,1013.5,36.0,23,,NNW,17,1008.8
,2016-06-8,22.1,34.8,0,,,,,,26.0,52,,WSW,11,1013.9,32.8,33,,SW,13,1010.4
,2016-06-9,17.3,27.4,,,,SSE,43,09:25,18.1,32,,SSE,20,1020.1,27.2,12,,SE,19,1016.6
,2016-06-10,18.1,29.7,0,,,SE,33,06:41,20.4,29,,ESE,20,1021.6,27.8,21,,ESE,17,1017.8
,2016-06-11,17.8,28.5,0,,,SE,44,10:30,20.7,31,,SE,28,1022.4,28.2,21,,ESE,26,1019.0
,2016-06-12,13.5,23.9,0,,,ESE,50,11:05,15.3,43,,SE,30,1025.4,23.3,22,,SE,22,1020.3
,2016-06-13,10.3,26.3,0,,,ESE,39,09:06,14.5,38,,ESE,24,1022.4,24.7,19,,ESE,17,1017.0
,2016-06-14,11.6,31.6,0,,,ENE,37,09:35,19.1,39,,E,19,1019.6,30.7,27,,E,15,1015.4
,2016-06-15,16.7,32.8,0,,,NNE,31,10:29,22.5,51,,ENE,17,1018.2,30.9,30,,NE,17,1014.6
,2016-06-16,17.6,33.0,0,,,ENE,28,12:07,22.4,50,,SE,7,1017.1,32.4,29,,ENE,9,1011.9
,2016-06-17,18.9,34.2,0,,,NNW,30,20:37,25.4,43,,SSE,15,1014.1,33.4,26,,NNE,13,1009.5
,2016-06-18,18.2,25.7,5.8,,,SSE,33,05:20,19.2,79,,SE,15,1015.4,24.4,54,,S,11,1012.5
,2016-06-19,13.2,26.2,6.8,,,SE,31,10:08,16.6,80,,SE,19,1015.8,25.8,36,,S,11,1012.6
,2016-06-20,10.6,25.8,0,,,ENE,28,10:15,16.7,67,,E,15,1016.1,25.3,28,,SE,15,1013.0
,2016-06-21,7.7,28.6,0,,,E,26,13:59,15.8,58,,E,9,1015.1,27.5,20,,SW,6,1011.6
,2016-06-22,9.4,30.5,0,,,ENE,22,11:37,17.3,53,, ,Calm,1015.5,29.7,17,,NE,6,1011.6
,2016-06-23,10.3,33.0,0,,,NE,20,10:34,19.1,42,,WNW,6,1014.5,32.3,14,,WNW,9,1010.6
,2016-06-24,15.7,33.4,0,,,E,26,13:38,22.8,43,,SE,11,1015.4,32.7,15,,NE,11,1011.7
,2016-06-25,17.3,31.1,0,,,NE,30,14:24,19.4,53,,ENE,17,1016.4,30.1,25,,NNE,11,1012.3
,2016-06-26,15.4,33.5,0,,,S,39,22:07,22.4,41,,N,17,1014.6,32.8,22,,WSW,11,1011.4
,2016-06-27,15.2,27.1,0,,,SE,43,09:38,17.5,54,,SE,26,1018.7,26.7,29,,SE,19,1015.0
,2016-06-28,12.2,26.2,0,,,ESE,37,08:52,15.4,45,,ESE,24,1021.5,25.2,27,,E,17,1017.6
,2016-06-29,7.5,26.0,0,,,E,30,08:59,14.5,39,,E,19,1021.6,25.6,15,,SE,15,1016.9
,2016-06-30,7.1,,0,,,,,,16.8,29,,ESE,13,1020.4,29.9,10,,ENE,13,1015.9
