"Daily Weather Observations for Melbourne (Olympic Park), Victoria for January 2016"
"Prepared at 13:03 GMT on Sunday 19 June 2016   IDCJDW3033.201601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-01-1,19.8,24.2,0,,,SSW,35,15:47,22.1,72,,S,11,1013.3,23.4,73,,SSW,13,1012.9
,2016-01-2,17.1,27.6,0,,,ESE,48,19:16,17.9,80,,WSW,9,1016.4,24.1,66,,SSW,17,1012.6
,2016-01-3,17.5,27.1,0,,,SE,43,15:09,20.8,61,,ESE,13,1016.8,26.2,43,,SE,17,1014.1
,2016-01-4,16.3,26.0,0,,,SSE,31,16:20,19.4,72,,SSE,6,1019.3,24.3,47,,ESE,13,1017.2
,2016-01-5,17.1,25.7,0,,,NNE,26,14:49,19.9,60,,NNE,2,1017.6,24.7,49,,SSW,13,1014.2
,2016-01-6,17.3,25.7,0,,,SSW,43,14:42,19.4,75,,SSE,9,1017.7,24.7,61,,SSE,17,1016.6
,2016-01-7,16.3,21.3,0,,,SSW,43,13:23,20.8,67,,SE,9,1021.0,20.1,62,,SSW,20,1021.0
,2016-01-8,16.2,20.6,0,,,SSW,31,14:04,17.2,63,,S,11,1023.5,19.5,62,,SSW,17,1022.1
,2016-01-9,16.8,21.4,,,,S,33,15:40,17.7,74,,S,6,1021.7,20.7,62,,SW,11,1020.3
,2016-01-10,15.7,31.5,0,,,SW,24,13:54,18.0,66,,NNE,6,1018.0,24.0,63,,SW,15,1013.7
,2016-01-11,17.2,36.4,0,,,NW,41,14:57,24.4,39,,NNE,9,1010.2,34.8,21,,NNW,11,1006.0
,2016-01-12,17.1,24.8,0.8,,,SSW,28,14:43,18.9,74,,SSE,11,1015.3,23.2,64,,SW,13,1014.0
,2016-01-13,16.8,42.2,0.2,,,WSW,52,16:59,23.3,60,,E,7,1011.0,39.9,19,,WNW,17,1004.7
,2016-01-14,16.1,18.1,0.4,,,SSW,46,16:46,17.8,72,,SSW,17,1017.0,15.0,73,,SSW,19,1021.1
,2016-01-15,13.6,19.2,1.0,,,S,35,00:00,14.9,63,,SE,11,1030.6,17.5,58,,SSW,20,1029.8
,2016-01-16,11.9,22.3,0,,,S,35,15:20,16.5,55,,ENE,9,1029.6,20.5,56,,SW,13,1025.8
,2016-01-17,14.9,32.7,0,,,N,41,08:51,18.6,70,,NNE,4,1023.2,30.6,24,,NNE,11,1018.6
,2016-01-18,18.6,35.3,0,,,NNW,44,10:05,27.1,28,,N,19,1016.1,34.0,19,,NNE,19,1012.5
,2016-01-19,17.9,30.9,0,,,SSW,26,11:48,19.9,73,,S,4,1013.5,27.7,37,,SSW,13,1009.4
,2016-01-20,19.3,29.1,1.0,,,SW,30,14:27,19.4,77,,NE,6,1010.6,27.5,61,,SSW,13,1007.3
,2016-01-21,19.0,26.7,0.8,,,SSW,31,19:55,20.1,88,,SSE,6,1009.8,23.0,67,,WSW,7,1010.1
,2016-01-22,17.5,22.8,1.6,,,SSW,30,07:41,18.2,86,,S,13,1010.6,19.7,95,,NE,9,1008.4
,2016-01-23,17.3,21.9,7.0,,,S,35,13:07,17.4,94,,S,7,1012.8,20.9,64,,S,17,1013.9
,2016-01-24,16.2,22.2,5.2,,,SSW,33,14:23,16.8,99,,SSE,6,1015.1,21.5,68,,SSW,19,1014.7
,2016-01-25,16.7,20.9,0.4,,,SSW,39,14:34,19.1,66,,SSE,13,1016.7,20.5,65,,SSW,17,1016.4
,2016-01-26,16.5,29.4,0,,,SE,33,20:04,19.4,74,,ESE,11,1017.8,26.8,43,,SSW,11,1014.2
,2016-01-27,19.3,29.5,0,,,N,41,14:02,21.4,73,,NNE,9,1011.1,28.6,42,,N,22,1007.3
,2016-01-28,20.3,27.5,3.6,,,N,39,07:54,24.9,63,,N,24,1004.3,22.0,83,,SSW,11,1001.8
,2016-01-29,14.4,18.3,14.2,,,S,20,23:58,14.5,91,,SE,4,1003.4,17.7,80,,SSW,9,1001.8
,2016-01-30,12.3,22.4,1.2,,,S,30,13:18,14.1,87,,SSE,6,1007.2,21.2,64,,SSW,15,1004.5
,2016-01-31,13.9,21.8,10.6,,,N,50,12:26,18.1,69,,NNE,19,1000.6,20.6,49,,NNW,24,1001.8
