"Daily Weather Observations for Melbourne (Olympic Park), Victoria for February 2016"
"Prepared at 13:03 GMT on Saturday 18 June 2016   IDCJDW3033.201602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-02-1,12.5,23.6,0,,,S,26,15:35,15.4,70,,NE,9,1006.6,22.5,53,,SSW,13,1005.5
,2016-02-2,15.4,31.5,0,,,N,31,13:14,19.0,82,,N,6,1005.3,30.8,29,,N,15,1001.3
,2016-02-3,18.1,21.0,0.6,,,SSW,44,15:44,18.2,97,,S,11,1007.5,19.9,67,,S,17,1011.0
,2016-02-4,17.3,20.9,2.4,,,SSW,39,13:23,18.3,62,,SSE,13,1018.9,20.1,61,,SSW,22,1019.3
,2016-02-5,15.3,29.4,0,,,SSE,33,17:38,18.1,73,,NNE,2,1019.9,25.3,47,,SSW,13,1017.1
,2016-02-6,16.5,32.6,0,,,NNW,35,09:13,20.8,63,,NNE,9,1017.6,31.2,32,,SSW,9,1014.3
,2016-02-7,19.1,27.7,0,,,SSW,35,15:51,22.9,57,,NE,4,1016.6,25.6,64,,SSW,11,1015.8
,2016-02-8,19.2,22.9,0,,,SSW,39,15:03,20.0,71,,SSW,11,1022.1,21.8,60,,SSW,19,1022.0
,2016-02-9,17.4,22.7,0,,,S,31,16:41,19.1,64,,SSE,7,1021.9,21.7,62,,SSW,17,1018.8
,2016-02-10,17.4,23.3,0,,,S,31,13:13,19.1,73,,SSE,4,1016.4,21.6,62,,S,17,1014.7
,2016-02-11,18.0,23.8,0,,,SSW,41,15:51,19.7,67,,SSE,13,1017.3,23.6,59,,SSW,15,1015.0
,2016-02-12,16.7,24.9,0,,,SSW,28,17:06,19.0,71,,E,6,1016.6,23.6,61,,SSW,13,1013.4
,2016-02-13,17.7,30.3,0,,,SSW,37,15:00,22.3,61,,SSW,11,1009.3,29.6,33,,SSW,11,1005.9
,2016-02-14,16.4,24.5,0,,,SSW,35,15:00,18.2,64,,W,9,1012.1,23.6,37,,SSW,9,1011.1
,2016-02-15,14.0,26.1,0,,,SSW,39,19:50,17.2,63,,WSW,9,1013.8,23.9,36,,SSW,11,1009.9
,2016-02-16,13.7,18.4,3.6,,,S,43,18:45,13.7,81,,S,13,1016.0,17.3,47,,S,19,1017.2
,2016-02-17,12.7,21.1,0.6,,,SSW,44,15:26,15.5,71,,W,9,1015.8,19.7,76,,S,19,1013.6
,2016-02-18,15.5,22.6,1.2,,,SSW,24,23:07,16.5,93,,W,4,1012.4,20.9,61,,SSW,13,1010.7
,2016-02-19,15.8,22.0,0.2,,,S,39,13:32,18.0,74,,WNW,6,1012.5,18.9,76,,S,17,1014.1
,2016-02-20,15.8,20.8,0,,,S,37,15:28,17.8,49,,SSE,11,1021.9,19.7,49,,SSW,19,1022.7
,2016-02-21,12.6,24.7,0,,,SW,26,14:29,15.9,68,,ENE,6,1025.0,24.2,51,,SW,9,1021.6
,2016-02-22,15.6,29.5,0,,,SSW,26,13:51,18.1,72,,NNE,9,1022.4,24.6,50,,SSW,11,1022.0
,2016-02-23,18.1,39.4,0,,,NNW,57,13:42,29.4,34,,N,20,1012.5,38.6,24,,N,28,1008.3
,2016-02-24,22.4,25.6,0,,,SW,35,14:56,24.4,60,,SW,9,1011.7,24.0,71,,SSW,19,1009.0
,2016-02-25,19.6,26.4,0.4,,,SSE,31,16:48,20.4,88,,SSW,15,1010.2,25.5,57,,S,13,1009.6
,2016-02-26,15.5,23.5,0,,,SSW,28,10:51,17.7,68,,WNW,7,1018.9,21.8,51,,SW,11,1019.1
,2016-02-27,17.7,22.2,0,,,S,30,15:23,18.4,70,,SSE,7,1021.7,21.2,64,,SSW,15,1020.0
,2016-02-28,17.7,22.7,0,,,SSW,31,14:22,18.5,63,,WSW,6,1021.3,21.8,53,,SSW,15,1020.4
,2016-02-29,15.0,23.7,0,,,SSW,33,15:51,18.5,72,,S,9,1021.9,22.8,65,,SW,15,1019.8
