"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2016"
"Prepared at 13:03 GMT on Friday 17 June 2016   IDCJDW3033.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-03-1,17.3,33.7,0,,,NW,43,11:57,18.6,86,,N,11,1017.7,32.4,23,,N,15,1014.4
,2016-03-2,17.6,34.7,0,,,SW,41,17:05,21.9,47,,NE,7,1016.6,33.0,25,,SSW,4,1014.2
,2016-03-3,17.4,23.9,,,,SSW,31,12:42,,,,,,,22.9,53,,SSW,13,1019.2
,2016-03-4,16.5,33.0,,,,SSW,22,10:45,20.9,64,, ,Calm,1017.9,32.8,38,,SSW,7,1013.2
,2016-03-5,20.4,23.7,1.2,,,S,26,14:00,20.9,84,,S,4,1019.3,22.3,74,,SSW,17,1019.9
,2016-03-6,17.4,25.2,0,,,SSW,35,14:33,19.4,78,,E,2,1020.3,23.1,73,,SSW,20,1018.0
,2016-03-7,18.6,24.9,3.2,,,SW,28,16:38,20.3,85,,NE,2,1019.3,22.2,80,,S,13,1020.6
,2016-03-8,19.9,38.9,0.6,,,N,37,14:09,20.8,86,,N,6,1019.4,38.2,20,,N,19,1014.1
,2016-03-9,20.8,28.5,0,,,NNW,41,02:42,28.2,36,,WSW,13,1015.9,23.6,75,,SSW,9,1016.8
,2016-03-10,18.1,22.1,0.6,,,ESE,22,23:23,19.0,86,,SSE,6,1021.5,19.4,95,,WSW,4,1019.7
,2016-03-11,18.8,26.1,8.4,,,SSW,26,14:55,20.7,95,, ,Calm,1017.5,24.6,73,,SSW,11,1015.8
,2016-03-12,18.7,22.3,0.2,,,SSW,26,14:43,20.7,91,, ,Calm,1020.1,21.9,79,,SSW,11,1020.3
,2016-03-13,17.7,23.2,0,,,SSW,30,15:34,18.6,85,,SE,9,1021.1,22.9,70,,S,11,1018.8
,2016-03-14,18.4,21.3,0,,,SSW,35,16:48,19.1,76,,SE,9,1021.0,19.5,62,,S,15,1020.5
,2016-03-15,15.1,26.8,0,,,SE,44,17:59,18.3,71,,SSE,2,1020.3,26.2,48,,SE,19,1017.4
,2016-03-16,15.3,31.4,0,,,ESE,31,17:19,18.3,72,,N,4,1019.2,29.6,36,,ENE,9,1014.4
,2016-03-17,18.3,32.5,0,,,N,43,12:27,23.9,50,,N,15,1012.8,31.2,35,,N,17,1006.5
,2016-03-18,15.2,19.5,13.4,,,W,54,05:55,15.5,90,,NNW,6,997.7,18.8,48,,SSW,19,1002.1
,2016-03-19,12.0,18.8,5.8,,,SSE,35,12:14,13.1,87,,W,9,1014.4,17.8,54,,SSE,15,1016.7
,2016-03-20,10.1,23.3,0.2,,,SSE,28,17:11,14.3,61,,SE,9,1020.7,21.6,40,,SSW,9,1019.0
,2016-03-21,11.2,23.5,0,,,SE,35,12:49,14.6,76,,SE,7,1021.6,22.3,44,,SE,13,1019.2
,2016-03-22,11.4,24.3,0,,,SSW,20,13:27,13.7,82,,NE,7,1019.9,22.5,51,,SSW,13,1016.5
,2016-03-23,13.7,28.8,0,,,N,28,11:47,16.4,66,,NNE,11,1016.5,25.8,36,,SSW,6,1015.3
,2016-03-24,16.3,21.2,0,,,SSW,26,15:05,18.3,79,,SSE,4,1020.8,20.7,67,,SSW,11,1018.8
,2016-03-25,15.9,20.4,0,,,SSW,26,11:58,16.3,83,, ,Calm,1020.7,18.9,49,,S,15,1019.7
,2016-03-26,14.1,20.2,0.4,,,SSW,28,19:35,16.4,74,,W,7,1020.1,19.9,60,,S,9,1019.3
,2016-03-27,14.3,19.9,1.0,,,S,35,16:37,15.6,66,,SE,9,1021.4,18.7,45,,SSW,13,1020.3
,2016-03-28,9.4,19.2,0.2,,,SSE,31,19:25,14.5,57,,SE,11,1020.3,18.4,42,,SSE,15,1018.1
,2016-03-29,14.5,17.9,0,,,SE,33,10:03,15.8,58,,SSE,7,1020.8,17.1,55,,S,15,1019.7
,2016-03-30,15.5,18.7,0,,,SSW,31,12:59,16.2,65,,SSE,11,1020.5,17.6,52,,SSW,17,1019.9
,2016-03-31,11.3,22.7,0,,,SSW,20,13:31,13.3,67,,NNE,7,1020.4,21.3,52,,SSW,11,1017.6
