"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2016"
"Prepared at 13:03 GMT on Tuesday 21 June 2016   IDCJDW3033.201605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-05-1,14.4,17.0,9.8,,,NW,54,03:05,15.4,59,,NW,19,1006.9,15.6,50,,WSW,19,1011.0
,2016-05-2,9.0,18.4,0.4,,,NNW,50,13:43,12.3,60,,N,19,1013.7,17.2,47,,NNW,20,1009.6
,2016-05-3,12.3,20.1,0,,,N,65,12:15,16.6,51,,N,20,1002.5,18.8,57,,NNW,30,999.8
,2016-05-4,9.8,18.2,0.2,,,NNW,33,13:27,12.6,63,,NNW,11,1015.6,16.9,43,,NW,13,1014.4
,2016-05-5,12.6,20.5,0,,,NNW,54,12:01,16.1,57,,N,20,1016.7,20.0,52,,N,20,1013.0
,2016-05-6,15.9,24.7,0,,,N,43,04:56,18.4,53,,N,24,1015.2,24.3,40,,N,17,1013.4
,2016-05-7,11.4,25.7,0,,,N,43,11:58,19.3,54,,N,17,1017.2,24.2,39,,N,15,1014.6
,2016-05-8,15.5,20.4,5.4,,,NNE,24,23:34,15.5,94,,ESE,4,1011.2,17.6,90,, ,Calm,1004.6
,2016-05-9,15.4,22.2,0.8,,,N,61,09:34,20.3,80,,N,11,996.1,16.6,68,,N,22,995.0
,2016-05-10,13.7,17.2,12.0,,,NNW,48,00:01,15.2,77,,WNW,15,1002.2,16.9,47,,WSW,13,1008.8
,2016-05-11,12.2,17.4,0.2,,,WNW,43,13:09,14.2,61,,NW,15,1014.6,16.3,54,,NNW,9,1009.5
,2016-05-12,14.1,21.4,0.2,,,NW,41,11:07,17.4,70,,WNW,11,1013.2,21.2,51,,NW,19,1012.0
,2016-05-13,15.9,21.6,0,,,NNW,31,18:20,16.5,70,,NE,9,1020.8,21.1,49,,N,15,1018.6
,2016-05-14,14.5,21.7,0,,,N,48,13:35,16.6,72,,N,22,1020.5,21.5,55,,N,22,1016.1
,2016-05-15,15.0,22.0,0,,,SSW,33,15:31,16.9,59,,NNW,13,1014.2,20.7,41,,WSW,13,1014.3
,2016-05-16,7.7,19.6,0,,,N,57,17:38,11.4,73,,NNE,9,1017.9,18.1,58,,N,19,1012.9
,2016-05-17,11.4,17.1,0.2,,,WNW,35,09:46,15.8,53,,NW,19,1016.7,16.7,53,,WSW,9,1017.4
,2016-05-18,13.0,19.3,0,,,NNW,35,12:39,14.8,56,,NNW,13,1018.4,18.8,45,,NW,13,1014.8
,2016-05-19,14.6,18.4,0,,,NW,39,14:51,15.1,66,,N,15,1014.0,17.2,66,,NNW,19,1012.0
,2016-05-20,11.6,17.4,1.8,,,W,20,00:09,14.1,73,,NW,7,1022.7,16.7,56,,SSW,6,1022.1
,2016-05-21,8.1,18.5,0,,,N,37,13:22,9.7,80,,NNE,11,1024.9,17.9,53,,NNW,22,1021.5
,2016-05-22,9.2,22.2,0,,,N,59,12:01,17.2,59,,NNE,17,1016.7,21.9,44,,N,24,1011.9
,2016-05-23,12.8,17.2,2.2,,,NW,43,02:14,13.2,61,,W,17,1016.9,16.9,38,,W,17,1017.3
,2016-05-24,10.7,15.8,1.8,,,WSW,24,09:42,12.6,74,,WNW,7,1021.1,15.7,57,,SSW,7,1019.2
,2016-05-25,7.6,15.6,0,,,N,46,16:54,12.2,76,,N,15,1015.1,13.4,74,,N,15,1010.2
,2016-05-26,10.3,12.5,12.4,,,N,35,00:57,10.5,95,,N,11,1003.6,11.9,88,,W,9,1003.5
,2016-05-27,9.2,14.4,4.8,,,NW,26,04:36,10.2,78,,WNW,11,1007.9,13.3,62,,S,6,1006.7
,2016-05-28,5.7,13.2,0.6,,,SSW,31,11:43,8.7,89,,NE,2,1011.0,13.2,65,,SSW,17,1012.4
,2016-05-29,8.7,13.9,4.2,,,W,26,06:08,11.3,61,,WNW,9,1019.8,13.4,54,,W,9,1020.7
,2016-05-30,7.2,15.4,0,,,NNE,20,12:49,9.7,69,, ,Calm,1027.3,13.7,55,,SSW,9,1025.7
,2016-05-31,3.6,17.4,0,,,N,17,13:44,5.5,86,,NNE,9,1031.1,16.6,46,,NNE,6,1027.4
