Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
70351,7/1/2015,-4.1,10,0,,,N,28,18:46,0,99,8,NNW,6,1028.8,9.6,55,,NNW,17,1024.3
70351,7/2/2015,-0.8,10.8,0,,,NNW,48,11:53,4.7,85,4,NW,13,1022,10.4,44,2,WSW,28,1018.9
70351,7/3/2015,-7,10.5,0,,,NNW,28,16:04,0.5,84,, ,Calm,1028.8,9.6,37,,NW,17,1025.5
70351,7/4/2015,-5.5,9.3,0.2,,,WSW,19,11:37,-0.6,94,,W,2,1024,8.7,56,,WSW,4,1022.3
70351,7/5/2015,-4.7,7.3,0,,,N,15,0:41,-0.3,99,8,SSW,7,1024,6,78,,SSW,9,1019.8
70351,7/6/2015,-2.4,11.2,0.2,,,NNW,26,14:51,1.7,99,8,SW,13,1018.4,10.6,55,,NW,19,1015.8
70351,7/7/2015,-4.7,11.5,0,,,SSE,20,14:42,1.6,95,, ,Calm,1022.6,10.6,59,8,SE,13,1022.4
70351,7/8/2015,-3,12.6,0,,,ESE,19,2:45,3.4,79,,ESE,9,1029.9,12.3,44,,NW,6,1027.9
70351,7/9/2015,-1.3,13.8,0,,,N,24,14:28,5,87,, ,Calm,1031,13.1,46,,NNW,9,1026.7
70351,7/10/2015,-0.5,9.9,2.6,,,NNW,35,11:17,4.4,99,8,NE,7,1023.4,9.5,84,7,NW,17,1019.2
70351,7/11/2015,3.6,12.5,7.2,,,W,43,20:30,8.7,91,8,NNW,17,1015.3,11.7,73,8,NNW,24,1009.3
70351,7/12/2015,3.1,9.2,10.2,,,WNW,39,17:04,3.6,90,8,NW,20,1005.1,7.2,65,,WNW,24,1002.1
70351,7/13/2015,3.6,13.6,1.4,,,W,48,11:44,7.8,72,7,NW,17,1004.6,13,46,,WSW,26,1006.1
70351,7/14/2015,4.1,10,0,,,NNW,52,14:48,7.2,68,,NW,30,1012.1,7,65,,NNW,35,1012.7
70351,7/15/2015,1.1,7.9,0,,,NNW,30,1:10,3.5,93,8,E,7,1018,7.6,79,8,SSE,7,1017.3
70351,7/16/2015,-0.5,10.8,3.2,,,S,35,13:56,4.9,88,1,SE,11,1018.9,9.4,65,8,SSW,24,1015.1
70351,7/17/2015,4.2,10.8,0.4,,,S,54,2:47,5.9,58,,S,26,1015.8,10.4,44,,SSE,22,1016.8
70351,7/18/2015,-2.9,11,0.2,,,S,37,9:19,6,68,,S,22,1027.9,9.5,52,5,S,22,1028.9
70351,7/19/2015,-5.1,12.8,0,,,NW,15,14:00,0.9,90,, ,Calm,1034.8,9.8,62,,WNW,9,1032.3
70351,7/20/2015,-4.7,14.1,0.2,,,N,19,13:51,0.8,99,, ,Calm,1036.5,12.9,39,,N,9,1032.6
70351,7/21/2015,-4.5,14.1,0,,,NW,35,12:31,1.4,98,, ,Calm,1033.5,13.6,50,,NNW,22,1029.5
70351,7/22/2015,0.2,9.6,0.2,,,SW,22,9:06,4.3,99,8,S,11,1026.7,8.9,96,8,NNE,15,1024.8
70351,7/23/2015,4.3,10.8,6.6,,,SW,13,13:02,7.4,99,7, ,Calm,1028,9.6,96,8,NNW,9,1025.1
70351,7/24/2015,0.5,11.6,2.2,,,NW,50,22:58,4.4,99,8,S,6,1020.8,10,95,8,NW,17,1015.8
70351,7/25/2015,4.4,13.4,2.4,,,NW,52,9:18,8,79,1,NW,28,1018.1,10.7,60,2,WNW,24,1017
70351,7/26/2015,6.5,11.5,0,,,WNW,59,16:28,9.5,75,1,NNW,30,1016.5,7.9,66,8,W,37,1015.8
70351,7/27/2015,1.4,11.5,0,,,W,48,5:53,5.6,57,,WNW,26,1025.4,10.1,42,,WSW,30,1026.3
70351,7/28/2015,-4.1,13,0,,,NW,24,12:03,2.7,87,, ,Calm,1035.1,12.3,47,,NW,13,1032.2
70351,7/29/2015,-3.3,12.9,0,,,NW,35,13:54,2.8,90,, ,Calm,1036.1,11.1,47,,NW,22,1031.2
70351,7/30/2015,-2.5,12.3,0,,,NNW,48,13:02,8,72,,NW,24,1026.2,9.9,59,,NW,30,1021.7
70351,7/31/2015,2.4,15.1,0,,,NNW,39,15:48,8.1,73,1,N,11,1022,14.5,48,,NW,24,1020.1
