Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
86338,6/1/2015,5.2,12.2,8.2,,,SSW,41,14:45,7.2,80,,W,11,1023.5,10,65,,SW,13,1024.6
86338,6/2/2015,7.1,11.4,4.2,,,SSW,20,11:56,8.2,90,,WNW,4,1029,9.9,91,,WSW,6,1026.9
86338,6/3/2015,8.1,13.6,0.8,,,NNE,13,8:52,8.6,92,,NNE,7,1025.2,12.8,58,,SW,7,1022.9
86338,6/4/2015,4.4,11.3,0,,,N,56,12:30,7.6,74,,N,17,1019.5,9,79,,N,9,1015.8
86338,6/5/2015,7,15,4.2,,,N,26,9:35,9.2,82,,NNE,9,1021.5,13.8,63,,NW,9,1022.4
86338,6/6/2015,9.2,16.6,0.2,,,N,31,21:28,11.5,82,,N,13,1028.7,16.4,65,,NNE,15,1026.7
86338,6/7/2015,11.2,14.5,0,,,N,54,13:13,12.1,77,,N,28,1024.5,13,69,,N,24,1021.1
86338,6/8/2015,11.1,18.5,0,,,NNW,48,14:01,12.1,69,,N,22,1017,18.1,53,,NNW,17,1013.1
86338,6/9/2015,10.3,13.5,4,,,WNW,50,0:52,10.8,72,,W,9,1021.4,12.6,58,,SW,9,1023.8
86338,6/10/2015,7.5,13.4,0,,,,,,9.5,81,,SW,9,1035,12.7,60,,SSW,13,1034.8
86338,6/11/2015,5.7,14,,,,SSW,17,14:40,7.5,82,,NNE,9,1038.3,12.5,65,,SW,9,1035.2
86338,6/12/2015,5.2,13.1,0,,,NNE,17,13:15,7,91,,NNE,7,1035.5,12.8,66,,N,4,1031.8
86338,6/13/2015,6,18.2,0,,,NNE,20,12:21,7.5,88,,NNE,9,1030.1,18,53,,N,11,1026.7
86338,6/14/2015,5.8,17.4,0,,,NNE,15,8:54,7.1,88,,NNE,11,1028.3,16.2,68,, ,Calm,1025.1
86338,6/15/2015,7.1,16.9,0,,,ESE,17,16:16,9.5,87,,NE,6,1026.3,16.1,70,, ,Calm,1022.7
86338,6/16/2015,9.5,16.1,5,,,N,20,12:51,11.8,100,, ,Calm,1017.7,15.3,80,,NW,6,1014.5
86338,6/17/2015,11.7,13.8,0,,,SSE,30,18:22,12.7,91,,S,2,1013.6,13.4,88,,SSW,7,1012.5
86338,6/18/2015,10.7,12.7,1,,,SE,37,11:26,11.2,82,,SSE,15,1020.2,12.3,73,,SE,13,1019.7
86338,6/19/2015,7,12.4,0.2,,,SSW,24,12:29,9.9,73,,ESE,6,1024.1,11.2,64,,SSW,9,1023.9
86338,6/20/2015,4.1,11.6,0,,,SSW,19,13:25,6.3,98,, ,Calm,1028,11.1,79,,S,9,1026.8
86338,6/21/2015,2.2,12.9,0,,,NNE,30,13:07,3.6,90,,NNE,13,1029.2,12.2,47,,N,17,1026.1
86338,6/22/2015,3.6,14.1,0,,,N,56,12:18,9.8,64,,NNW,19,1025.2,13,53,,N,30,1021.9
86338,6/23/2015,9.6,17.6,0,,,N,52,10:58,13.8,57,,N,11,1019.7,16.7,51,,N,26,1016.6
86338,6/24/2015,12.2,16,0,,,N,31,0:43,13.1,78,,N,11,1019.8,14.8,65,,SSW,9,1020.2
86338,6/25/2015,9.6,14,0,,,W,28,10:35,10.5,81,,W,9,1028.2,13.6,70,,SW,6,1028.4
86338,6/26/2015,10.5,16.9,0,,,N,24,13:32,12,84,, ,Calm,1033,15.9,53,,NW,9,1030.9
86338,6/27/2015,8,14.1,0,,,N,28,10:05,10,84,,N,13,1033.1,12.7,67,,N,19,1031
86338,6/28/2015,9.6,14.5,0,,,NNE,15,0:29,10.9,80,, ,Calm,1034,13.8,66,,SW,6,1032.8
86338,6/29/2015,6.9,12.3,0,,,S,17,14:20,10.3,80,, ,Calm,1033.8,11.8,67,,S,9,1031.2
86338,6/30/2015,5,14.2,0,,,SSW,15,12:47,7.5,88,,ENE,4,1029.5,13.3,51,,WSW,6,1027.1
