Station,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
39123,12/1/2015,23.8,32.8,0,,,NE,33,11:50,29.7,65,,NE,19,1016,29.6,59,,NE,17,1013.7
39123,12/2/2015,24,33.1,0,,,NE,28,11:26,31.1,52,,NE,13,1016.4,28.1,64,,NNE,9,1014.2
39123,12/3/2015,23.2,34.4,0,,,ESE,65,18:52,27.6,67,,ENE,9,1017.2,25.8,74,,ESE,30,1015.2
39123,12/4/2015,21,31.9,0,,,ESE,59,19:21,26.5,55,,ESE,28,1019.1,28.4,52,,ENE,30,1015.9
39123,12/5/2015,19.4,32.5,0.2,,,E,54,17:35,27.4,45,,ESE,19,1018,29.6,53,,ENE,30,1014
39123,12/6/2015,20.6,32.4,0,,,E,46,17:16,28.9,53,,ESE,22,1016.5,29.4,56,,ENE,30,1014
39123,12/7/2015,21.2,31.1,0.4,,,ESE,35,7:52,27.4,63,,E,22,1018.4,29.5,57,,ENE,20,1016.1
39123,12/8/2015,22.4,32.5,0,,,ENE,35,9:35,29.5,55,,ENE,22,1020.1,30.2,53,,ENE,20,1017.4
39123,12/9/2015,23,32.7,0,,,ENE,30,0:05,30.1,54,,ENE,15,1019.3,30.6,50,,NE,17,1016.3
39123,12/10/2015,23.7,33.4,0,,,NE,31,14:40,30.9,56,,NE,13,1017.1,30.1,60,,NE,17,1013.2
39123,12/11/2015,23.3,33.3,0,,,NE,39,13:00,29.7,56,,ESE,4,1013.7,31,57,,NE,20,1008.9
39123,12/12/2015,24.1,33.4,0,,,ESE,54,17:14,29.6,57,,WNW,9,1011.1,23.2,83,,SSE,26,1010.1
39123,12/13/2015,19.8,30.7,6.6,,,E,59,18:24,25.6,68,,ESE,11,1015.1,29.3,53,,E,26,1012.9
39123,12/14/2015,21,32.8,0,,,E,43,17:38,27.7,57,,SE,22,1016.2,29.7,54,,ENE,26,1013.1
39123,12/15/2015,21.7,32.3,0,,,ENE,46,15:30,27.9,54,,ESE,24,1014.6,29.6,50,,ENE,22,1012.1
39123,12/16/2015,21.8,32.3,0,,,E,44,16:27,28.5,51,,ESE,22,1013.8,29.9,48,,ENE,24,1010.5
39123,12/17/2015,22.4,32.8,0,,,ESE,59,18:01,28.1,49,,ESE,22,1012.4,28.6,58,,E,35,1009.8
39123,12/18/2015,20.9,31.1,0,,,E,54,17:37,27.5,55,,ESE,24,1015.1,29.1,47,,ENE,35,1012.2
39123,12/19/2015,20.5,31.3,0,,,ENE,54,14:43,27.4,53,,ESE,20,1015.5,28.5,47,,ENE,35,1012.8
39123,12/20/2015,20.8,31.8,0,,,ESE,44,8:57,26.5,62,,ESE,28,1016.7,29.9,51,,ENE,26,1014.4
39123,12/21/2015,22.8,32.8,0,,,E,43,13:28,29.7,52,,E,22,1017.3,30,51,,ENE,26,1014.9
39123,12/22/2015,22,32.7,0,,,E,43,18:05,29.5,51,,E,19,1016.8,29.9,53,,ENE,26,1013.3
39123,12/23/2015,21.8,32.8,0,,,ENE,33,14:50,28.5,55,,E,19,1013.9,30.1,50,,ENE,20,1009.9
39123,12/24/2015,22.2,33.5,0,,,ENE,41,15:55,29.9,51,,ENE,17,1012.3,30.5,53,,ENE,24,1009.4
39123,12/25/2015,23,33.1,0,,,E,35,0:06,29.5,55,,E,20,1012,30.3,51,,ENE,24,1009.2
39123,12/26/2015,22.6,33.3,0,,,ENE,33,13:10,30.7,58,,E,13,1011.4,31.3,54,,ENE,20,1008.8
39123,12/27/2015,25,34.7,0,,,ESE,43,19:59,31.9,59,,ENE,13,1012.2,31.4,60,,ENE,19,1009.5
39123,12/28/2015,22.9,26.5,13.4,,,ESE,59,11:27,24.1,83,,SE,24,1013.8,25.3,70,,SE,20,1011.6
39123,12/29/2015,19.2,29.6,2.4,,,E,63,16:43,23.6,69,,SE,20,1014.1,28.3,52,,E,41,1010.7
39123,12/30/2015,20,31.5,0,,,E,57,16:49,26.6,45,,SE,20,1013.9,28.7,50,,E,31,1011.5
39123,12/31/2015,20.8,32.5,0,,,E,59,17:38,27.1,46,,SE,24,1013.3,28.1,50,,E,35,1010.1
