|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
101|CAN|10-09-2015|1.8|17.0|0.0|8|31.0|11:10|10.6|57.0|6.0|9|22|1031.8|16.8|44.0|5.57425742574|12|9|1029.3|9
52|QUN|22-06-2015|14.9|23.4|0.0|9|48.0|9:01|17.6|68.0|6.0|10|13|1024.7|21.3|57.0|5.57425742574|1|30.0|1022.6|6
38|CAN|08-06-2015|0.1|15.4|0.0|7|54.0|12:12|10.4|74.0|6.0|8|27|1024.7|14.2|53.0|5.57425742574|8|31|1020.9|6
23|MAL|24-05-2015|6.0|15.6|0.0|6|22.0|18:43|7.4|90.0|6.0|10|23|1032.4|12.7|73.0|5.57425742574|12|9|1029.7|5
53|MAL|23-06-2015|9.6|17.6|0.0|3|52.0|10:58|13.8|57.0|6.0|4|18|1019.7|16.7|51.0|5.57425742574|4|26|1016.6|6
219|QUN|06-12-2015|20.6|32.4|0.0|0|46.0|17:16|28.9|53.0|6.0|3|11|1016.5|29.4|56.0|5.57425742574|2|30.0|1014.0|12
134|CAN|13-10-2015|11.3|21.3|0.0|1|39.0|14:46|14.9|66.0|4.0|10|18|1023.0|19.4|54.0|8.0|2|22|1022.0|10
59|MAL|29-06-2015|6.9|12.3|0.0|8|17.0|14:20|10.3|80.0|6.0|0|40|1033.8|11.8|67.0|5.57425742574|9|9|1031.2|6
59|CAN|29-06-2015|-0.9|14.4|0.2|6|19.0|13:59|4.8|90.0|6.0|7|37|1034.8|13.7|52.0|5.57425742574|7|7|1030.7|6
142|MAL|20-09-2015|8.5|22.9|0.0|3|39.0|8:54|16.5|64.0|6.0|4|11|1021.0|22.1|42.0|5.57425742574|4|20|1016.8|9
29|MAL|30-05-2015|11.0|17.3|0.0|6|43.0|11:42|12.7|64.0|6.0|7|24|1020.3|16.8|46.0|5.57425742574|8|17|1016.1|5
110|QUN|19-08-2015|14.5|25.5|0.0|1|35.0|13:17|19.9|62.0|6.0|10|6|1023.0|22.8|49.0|5.57425742574|2|20.0|1020.5|8
174|MAL|22-10-2015|11.4|16.7|7.0|11|43.0|15:17|14.1|81.0|6.0|11|18|1019.6|15.5|76.0|5.57425742574|12|13|1020.0|10
139|CAN|18-10-2015|11.5|21.6|1.8|4|30.0|14:51|15.6|82.0|8.0|2|20|1029.3|20.4|61.0|7.0|2|19|1026.9|10
112|QUN|21-08-2015|16.0|24.0|0.2|2|41.0|14:50|20.0|82.0|6.0|10|10|1023.2|21.7|72.0|5.57425742574|3|28.0|1020.6|8
95|MAL|04-08-2015|3.5|11.3|0.0|13|39.0|14:43|6.6|72.0|6.0|4|1|1023.5|10.7|54.0|5.57425742574|15|13|1019.4|8
40|QUN|10-06-2015|16.8|26.5|1.8|2|50.0|14:47|20.8|76.0|6.0|11|9|1023.0|23.7|52.0|5.57425742574|3|31.0|1021.0|6
146|QUN|24-09-2015|13.9|26.1|0.0|10|35.0|7:11|20.6|39.0|6.0|10|6|1021.0|23.0|43.0|5.57425742574|2|20.0|1016.2|9
130|CAN|09-10-2015|7.6|27.1|0.2|8|50.0|20:48|12.6|83.0|8.0|3|35|1033.9|26.0|39.0|5.57425742574|15|15|1028.5|10
195|MAL|12-11-2015|13.7|21.2|0.0|8|33.0|18:02|17.1|80.0|6.0|5|0|1016.1|20.6|60.0|5.57425742574|12|13|1013.1|11
156|CAN|04-11-2015|13.9|20.8|0.0|0|39.0|18:48|16.8|75.0|8.0|3|18|1018.2|19.1|66.0|8.0|1|20|1015.6|11
170|MAL|18-10-2015|12.6|17.7|0.0|11|30.0|13:43|14.8|66.0|6.0|10|39|1029.8|17.0|57.0|5.57425742574|12|15|1027.6|10
118|MAL|27-08-2015|9.8|11.7|0.8|11|30.0|16:59|10.2|90.0|6.0|16|1|1022.0|11.4|100.0|5.57425742574|13|9|1019.8|8
41|QUN|11-06-2015|17.9|24.1|0.2|2|69.0|12:15|21.0|72.0|6.0|10|13|1025.0|23.3|52.0|5.57425742574|3|39.0|1022.9|6
102|CAN|11-09-2015|0.0|18.9|0.0|3|41.0|13:28|8.8|80.0|6.0|0|40|1032.6|18.1|51.0|5.57425742574|7|26|1027.8|9
86|MAL|26-07-2015|8.1|11.6|3.2|6|56.0|0:06|9.2|60.0|6.0|7|6|1012.9|8.8|64.0|5.57425742574|8|9|1015.7|7
179|CAN|27-11-2015|0.5|22.9|0.0|3|41.0|13:45|13.4|40.0|6.0|8|39|1015.4|20.8|19.0|5.57425742574|8|22|1012.5|11
12|MAL|13-05-2015|6.3|12.8|6.8|15|35.0|11:27|7.8|79.0|6.0|14|19|1022.8|12.2|58.0|5.57425742574|12|11|1024.6|5
26|QUN|27-05-2015|17.0|25.9|0.0|0|31.0|18:50|21.2|73.0|6.0|10|20|1023.3|23.7|60.0|5.57425742574|2|17.0|1020.3|5
64|QUN|04-07-2015|12.0|23.3|0.0|9|37.0|10:47|17.2|67.0|6.0|11|7|1022.0|21.6|51.0|5.57425742574|1|22.0|1019.1|7
125|QUN|03-09-2015|20.0|30.4|0.0|6|41.0|9:00|23.1|74.0|6.0|7|12|1015.7|27.3|61.0|5.57425742574|4|19.0|1010.4|9
166|QUN|14-10-2015|18.9|29.3|0.0|0|43.0|18:36|25.3|54.0|6.0|1|11|1022.7|25.9|54.0|5.57425742574|2|24.0|1019.0|10
129|CAN|08-10-2015|8.5|20.0|0.0|-1|37.8098693759||12.5|66.0|8.0|1|21|1038.6|19.1|49.0|3.0|6|19|1034.3|10
5|MAL|06-05-2015|9.5|16.2|1.4|6|43.0|10:35|12.0|66.0|6.0|4|20|1013.3|15.1|63.0|5.57425742574|7|13|1012.5|5
131|MAL|09-09-2015|10.0|15.3|0.0|11|31.0|9:52|12.1|85.0|6.0|14|4|1027.6|14.2|53.0|5.57425742574|13|11|1027.9|9
6|CAN|07-05-2015|7.6|13.9|0.0|13|56.0|4:45|11.0|55.0|6.0|15|24|1017.5|12.6|46.0|5.57425742574|15|28|1017.5|5
12|CAN|13-05-2015|3.8|11.8|0.0|13|54.0|0:06|7.7|55.0|6.0|15|26|1016.4|9.3|48.0|8.0|13|13|1018.1|5
213|QUN|30-11-2015|23.8|33.3|0.0|3|48.0|6:55|30.4|57.0|6.0|5|6|1013.8|29.5|60.0|5.57425742574|5|20.0|1011.5|11
135|MAL|13-09-2015|13.2|25.5|0.0|6|41.0|11:57|18.4|55.0|6.0|6|6|1025.2|25.1|33.0|5.57425742574|4|20|1021.4|9
188|MAL|05-11-2015|16.2|24.7|12.2|3|50.0|13:15|18.1|100.0|6.0|10|0|1006.9|18.3|98.0|5.57425742574|13|6|1004.5|11
186|MAL|03-11-2015|8.0|17.9|0.2|11|31.0|16:51|12.8|54.0|6.0|10|6|1019.8|16.1|58.0|5.57425742574|12|15|1017.3|11
3|MAL|04-05-2015|7.5|22.3|0.0|3|56.0|23:40|9.3|100.0|6.0|6|18|1015.8|22.0|40.0|5.57425742574|4|20|1009.6|5
57|MAL|27-06-2015|8.0|14.1|0.0|3|28.0|10:05|10.0|84.0|6.0|4|19|1033.1|12.7|67.0|5.57425742574|4|19|1031.0|6
204|QUN|21-11-2015|21.0|30.6|0.0|1|28.0|12:57|27.9|53.0|6.0|6|4|1016.7|28.1|56.0|5.57425742574|5|15.0|1012.8|11
208|CAN|26-12-2015|11.4|22.4|0.0|-1|37.8098693759||20.6|58.0|6.0|12|1|1006.2|19.2|88.0|8.0|7|28|1004.5|12
172|QUN|20-10-2015|18.0|28.3|0.6|-1|37.8098693759||23.8|57.0|6.0|3|12|1022.1|26.3|52.0|5.57425742574|2|28.0|1019.1|10
99|CAN|08-09-2015|3.0|13.1|0.0|7|44.0|11:14|10.0|59.0|6.0|15|22|1019.2|11.0|70.0|1.0|7|33|1016.6|9
24|QUN|25-05-2015|17.1|25.0|0.0|9|50.0|20:57|20.3|67.0|6.0|11|26|1027.5|23.7|58.0|5.57425742574|1|20.0|1024.9|5
48|MAL|18-06-2015|10.7|12.7|1.0|9|37.0|11:26|11.2|82.0|6.0|11|20|1020.2|12.3|73.0|5.57425742574|10|13|1019.7|6
113|QUN|22-08-2015|18.3|23.2|4.4|0|43.0|17:21|19.0|99.0|6.0|3|7|1023.3|21.1|94.0|5.57425742574|1|19.0|1020.4|8
86|CAN|26-07-2015|6.5|11.5|0.0|14|59.0|16:28|9.5|75.0|1.0|7|29|1016.5|7.9|66.0|8.0|14|37|1015.8|7
132|CAN|11-10-2015|6.5|22.1|0.0|6|56.0|20:41|15.4|74.0|7.0|0|40|1023.3|20.1|55.0|8.0|15|19|1019.9|10
223|MAL|10-12-2015|13.1|26.0|0.0|10|30.0|17:36|16.9|68.0|6.0|10|35|1015.9|23.6|39.0|5.57425742574|12|11|1010.7|12
115|CAN|24-09-2015|1.4|12.8|0.0|8|54.0|7:39|9.4|54.0|3.0|11|28|1028.7|11.6|45.0|2.0|11|19|1026.8|9
95|CAN|04-09-2015|0.7|16.7|5.0|7|39.0|15:27|9.7|79.0|6.0|16|37|1023.0|15.5|51.0|1.0|8|26|1020.1|9
192|MAL|09-11-2015|13.6|33.1|0.0|3|35.0|9:27|21.0|47.0|6.0|6|6|1017.1|31.6|26.0|5.57425742574|4|15|1013.1|11
0|CAN|01-05-2015|4.9|17.1|0.0|2|30.0|16:08|13.6|76.0|7.0|10|18|1030.9|16.4|64.0|7.0|1|17|1026.7|5
90|MAL|30-07-2015|8.6|12.3|0.0|6|63.0|14:23|10.1|65.0|6.0|4|13|1020.7|11.8|57.0|5.57425742574|4|24|1013.9|7
63|MAL|03-07-2015|5.9|12.0|2.6|3|22.0|22:06|7.3|86.0|6.0|5|2|1028.8|11.1|48.0|5.57425742574|8|7|1026.1|7
190|MAL|07-11-2015|11.9|16.8|1.2|11|44.0|6:51|13.6|68.0|6.0|12|9|1018.3|16.0|54.0|5.57425742574|12|20|1020.3|11
36|MAL|06-06-2015|9.2|16.6|0.2|3|31.0|21:28|11.5|82.0|6.0|4|19|1028.7|16.4|65.0|5.57425742574|6|15|1026.7|6
